,Trimethoprim-sulfamethoxazole_AB,Ceftriaxone_AB,Gentamicin_AB,Ampicillin_AB,Ciprofloxacin_AB,Amoxicillin-clavulanic acid_AB,Cefepime_AB,Meropenem_AB,Amikacin_AB,Tigecycline_AB,Ceftazidime_AB,Levofloxacin_AB,Piperacillin-tazobactam_AB,Cefazolin_AB,Tobramycin_AB,Cefuroxime_AB,Ertapenem_AB,Ticarcillin-clavulanic acid_AB,Aztreonam_AB,Ampicillin-sulbactam_AB,Moxifloxacin_AB,Nitrofurantoin_AB,Cefotaxime_AB,Trimethoprim_AB,Norfloxacin_AB,Organism_Code
Gentamicin_AB,0.0009017515346827102,0.002300785026917,0.6800410987050249,0.0016304177116119156,0.04073179051035086,0.05618746065478815,0.008825625201267371,0.0022290313908333737,0.017704670697648514,0.0013148585007852632,0.11790615632460139,0.005122074611137338,0.012965544860504094,0.0030063990814410825,0.01237219346956761,0.0005584363131479272,0.013418137989397602,0.00021852403831938624,0.0018375923807690282,0.007272075559656773,0.001421528514222546,0.0024351643689473155,0.00955047776050582,4.984867810601004e-06,4.3219926061488473e-05,0.0
Levofloxacin_AB,0.03823490247920747,0.05729532342308227,0.010389282737552345,0.02054477874638589,0.1654902459690938,0.03687707712395304,0.028680805688160477,0.017104520904944492,0.04230948843708494,0.0003145620186614162,0.04845160736488961,0.2726413500777872,0.039603680475027506,0.07782217112281593,0.04622550422898891,0.0,0.032656606333954785,0.0,0.001752707417070693,0.008993771185145372,0.0,0.053587309233985886,0.001024305032207753,0.0,0.0,0.0
Meropenem_AB,0.044358772730829686,0.01093772983247787,0.00037072423979947765,0.11163640320694718,0.013995376921339193,0.006889134125618564,0.03327162126586192,0.17015399473382392,0.007894919405426064,0.0035233701118235526,0.021069389753051823,0.31255919772622065,0.035910533221972074,0.00358231081653773,0.09717248364910802,6.989341863399653e-06,0.11354180170533329,7.573365243676107e-05,7.23575049594962e-05,0.001899811693823314,3.109736377742136e-06,0.010487705949685785,0.00036820756470542614,0.000181098512321978,3.72225976551394e-05,0.0
Moxifloxacin_AB,0.02548892453167961,0.0030771089077213363,0.018667993155351788,0.05921096758598457,0.08889752094826067,0.0023022602351135527,0.004563834059815306,0.0,0.0062520844308354695,0.332896301064419,0.008379449348415637,0.004734740141091985,0.06516148144491231,0.006754375108778996,0.007338719136481632,0.1603323263358985,0.035250888326917106,0.004792476259321538,0.002068565706584671,0.03617943621460032,0.09812057745945582,0.0030679534798757854,0.01616216224052795,0.0045723274467648805,0.005727526431191584,0.0
Nitrofurantoin_AB,0.019573447384084293,0.010251460383957012,0.017035442222171723,0.012349984463846414,0.05120508517723921,0.06358195817423928,0.027563159540294327,0.046454418828509356,0.008962264809187624,0.021159117000397458,0.05007263384023804,0.24626187978684844,0.05111240911043988,0.12520056741663105,0.03037819643949083,0.0,0.12082722217402012,0.0,0.0,0.018211100980008173,0.0,0.05678743049148054,0.022974061646109403,3.816013080679023e-05,8.895432739286769e-17,0.0
Norfloxacin_AB,0.06401253318938538,0.1034471013410931,0.015765125328185227,0.033827324879494594,0.03969805063856881,0.0,0.057465086600008326,0.012284127763373318,0.02868987120175967,0.0,0.12830055833997053,0.0,0.0,0.0,0.15630713520106848,0.0,0.0,0.0,0.0,0.0,0.0,0.010754242146462662,0.0,0.027282082009240663,0.3221667613613891,0.0
Piperacillin-tazobactam_AB,0.006067790389405265,0.02469316759689528,0.01475216614476172,0.0037548583826080744,0.03520169145497404,0.4108984073002235,0.011710837132580662,0.002143161475583419,0.02095900578484058,0.003646110365360488,0.02964697881551115,0.009236851214857237,0.2769918810600486,0.008681614268654572,0.044599748176151394,0.004231159587704864,0.020230012808374928,0.008378097798087208,0.00914953198862859,0.004064411507583729,0.0003453554594172554,0.0027955306916906775,0.047801777743514406,1.9852852542389067e-05,0.0,0.0
Ticarcillin-clavulanic acid_AB,0.09795682172007167,0.018897086667021605,0.0029698323569739057,0.2012755637519446,0.03263316089994031,0.0,0.021413989959155107,0.00014770015314174366,0.0,0.175471066694878,0.02738260176240627,0.0,0.004527154219513639,0.05692627000216548,0.07223151180634355,0.02564235958942848,0.07440190661183238,0.022419613979294893,0.005507133778441396,0.160196226047447,0.0,0.0,0.0,0.0,0.0,0.0
Tigecycline_AB,0.009496000868477607,0.014338959414024056,0.014992472066643309,0.008649519938418507,0.026490278823010863,0.00023754566948263527,0.0456354626488197,0.003269489049162703,0.17183389344289926,0.014811387750612623,0.01127421560577919,0.011787675057373503,0.005460311236712123,0.09162201309592335,0.009772654601591954,0.034696725279304313,0.016796841906199914,0.00849606293934695,0.047846145312950464,0.015526343734661815,0.28070704911430366,0.011237192794937899,0.14493609860022172,8.566104914195871e-05,0.0,0.0
Tobramycin_AB,0.004401359144922759,0.0043705676678091245,0.07034187542668424,0.0024088602391815505,0.006933573307316676,0.022990383999269455,0.026181545712839104,0.01068603917449958,0.021333977266473268,0.04282149319123328,0.0038500635556755263,0.06502647904743611,0.05905751754797918,0.009855668282640425,0.39854737540225815,0.03845425624998214,0.09620446824884188,0.030376780814112228,0.035600070276361466,0.034240392112888936,0.0,0.006345238492163251,7.155465329415593e-06,0.003731551337003692,0.006233308037098486,0.0
