,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Tigecycline_AB,Trimethoprim_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Ceftolozane-tazobactam_AB,0.004845524020755148,0.015311070534514705,0.013368855593551719,0.02039360659441699,0.007225792796435971,0.041470446767067515,0.005218799162930127,0.0,0.005244248955755277,0.008926918562120181,0.012233278271784921,0.09722155571382662,0.01419772974204751,0.03473064113438151,0.4444793351196688,0.0,0.13163405907699954,0.010025190594774823,0.02317611272769215,0.012401691575415777,0.07262201896926047,0.014501435111206312,0.010771688975394045,0.0
Ceftriaxone_AB,0.12327447840666886,0.007349834170004302,0.02792146711195819,0.020425242626814354,0.001410933531056955,0.014644941790314364,0.0001331920136772017,0.007451529906336804,0.006140207395186886,0.10971255995473486,0.002476726262558253,0.006518788109314392,0.0029893821480963473,0.0007810365792815381,0.13480224572060698,0.018129133165204696,0.005631112661558298,0.014477653537572417,0.016375054865535928,0.005000077525621135,0.000651599287887216,0.004420544897616975,0.4692822583323929,0.0
Cefuroxime_AB,0.014702223484404814,0.5114475868583593,0.02292210486534049,0.009589129593197649,0.006635856749198847,0.00859685796135409,0.0074315076347853575,0.003489278705018056,0.09054069621875047,0.06843494287397506,0.010650048453255232,0.004220943488292711,0.0033303013540138737,0.0033152032370426373,0.008096318189262135,0.010445267570267945,0.003397094414786725,0.0022294099491015733,0.0017225130730976986,0.004057136692680624,0.003409366124857499,0.0140934866331166,0.18724272587584068,0.0
Ciprofloxacin_AB,0.01700472310652571,0.01336116784376139,0.011882507502763151,0.015224445475389356,0.026201262941146553,0.06032573134596544,0.008319427608667567,0.013098796836592812,0.01877187613885382,0.013315808119538954,0.18397692798969978,0.1704109552149379,0.03578574913731641,0.01033473989514136,0.16892440162607178,0.014768493804444088,0.05991502467674294,0.031812532665425525,0.005544425806575856,0.04960484426498536,0.033383071449806914,0.02203194519963017,0.016001141350017237,0.0
Ertapenem_AB,0.004978686620433829,0.00722811768451914,0.013200186367641992,0.008093425244858293,0.01138558575107984,0.013006232868669792,0.009459954999091413,0.0035459161145656587,0.005802043744932777,0.01152717235602094,0.00825323282787948,0.127753108193192,0.35721089236138565,0.03870497629879868,0.14047291635695947,0.04803450701856603,0.043293712791706795,0.013788490225948823,0.008760934086556654,0.04540089465791457,0.02429576305465557,0.02722982375006215,0.028573426624560406,0.0
Gentamicin_AB,0.13521807642221387,0.008581836062265485,0.010190722189477582,0.013029569049316812,0.5322387481000159,0.01451298795166225,0.005782505614168636,0.013681738202978865,0.02481236382575237,0.03539463085181255,0.017699187049420192,0.014077813764773503,0.02304073283277947,0.017821094058872968,0.005071947314849248,0.0041948757960691575,0.029369819496043264,0.007563257874034233,0.008448047006921713,0.013098835048600134,0.02668621067741972,0.006079945703567688,0.0334050551069844,0.0
Imipenem_AB,0.09247146027949596,0.01763796332713099,0.009084293800279482,0.05374048263515334,0.008653593191659405,0.04286957283745764,0.00657621131041684,0.0029468919694123877,0.0302053430111112,0.015187958073673773,0.013817997352863985,0.09649918743305969,0.31237930014819826,0.06537337756890763,0.030376065892848855,0.0025544449869118937,0.04259056335230066,0.011442837392576517,0.018401605187880556,0.08125465451062988,0.018619111044839952,0.010122384586211872,0.017194700106979106,0.0
Levofloxacin_AB,0.015972769815870955,0.04015962799076403,0.007798615140632334,0.019899421739585164,0.024381964219856327,0.018878166587935778,0.010062961762752863,0.0,0.01715720000654117,0.018463558805119393,0.0157532285565651,0.015896901825614616,0.01895657233820706,0.021222625054444107,0.012752552488646972,0.007475727018695499,0.04509922542793143,0.012559627426402112,0.5630055828991329,0.01800624762829093,0.0488819853221589,0.026607367271204642,0.02100807067364764,0.0
Meropenem_AB,0.01235650360654016,0.0051467752641876224,0.0048031806205735515,0.014978931059509714,0.009300106919754057,0.010549203998667557,0.011831145263299855,0.0018595659338183953,0.006407843632525407,0.008028476269054383,0.00661233186417734,0.1476420319545112,0.311761549981458,0.13879994761461623,0.06934245444255677,0.07063923395932892,0.046425212218442244,0.0038076984645203813,0.011957563720886648,0.06228879581223168,0.024090152943674007,0.010817128480624074,0.010554165975041965,0.0
Piperacillin-tazobactam_AB,0.09641140709175772,0.012223459196147363,0.020590671408116216,0.013010052212658763,0.012221393390689714,0.5233391233672369,0.017605784887337772,0.0046001926564213005,0.03932561679699326,0.020609504719403475,0.06511939214272727,0.008592105557098205,0.007960842603462043,0.008266973679929398,0.015904347433918962,0.027002875720803537,0.018367430323800223,0.008069413973383054,0.00983271490633756,0.011868615646642164,0.01889142406164393,0.03360737208488994,0.0065792861386011455,0.0
Tigecycline_AB,0.024314597999558853,0.017658107886430404,0.004507369626806182,0.01397317072768337,0.018254966341203813,0.013521835063696789,0.3855310448158188,0.036082019791249066,0.010641194120650472,0.0030506608124088383,0.005271599784126814,0.005111700679202083,0.03193156228729214,0.03396989336344623,0.005821311838808214,0.2079827725367503,0.026345073488215284,0.0053018881384359964,0.05639675476614532,0.001574370628582775,0.004881271582165523,0.02678687934150075,0.061089954379822134,0.0
Tobramycin_AB,0.5917398202860347,0.008590585878434445,0.008532931248159115,0.008299471461318283,0.12034829226521912,0.027214148540677115,0.005587067096331947,0.005395433366823986,0.09339391966572727,0.06146497792147047,0.011850349121936301,0.0023358193239501578,0.0023441931230678958,0.004299304075588831,0.0040430485199233444,0.006292126586344465,0.006592372093473872,0.001826371931783677,0.002466700694399168,0.0032938156492859933,0.004809034523791724,0.004911055907954832,0.014369160718303204,0.0
Trimethoprim_AB,0.029361403354776057,0.03145255034521439,0.028521835500589045,0.056290660664373104,0.045835997016925714,0.024464699158340354,0.037681704884410666,0.36032920341221364,0.08925810792502144,0.04153437450319507,0.014780686585796904,0.0,0.00910572700460898,0.018555500907461664,0.0,0.07994150233149812,0.02937797778677515,0.009806911540417183,0.0,0.06935769847450352,0.02434345860387872,0.0,0.0,0.0
