Genome ID,Genome Name,Laboratory Typing Platform,PubMed
470.7422,Acinetobacter baumannii strain MRSN11671,BD Phoenix,
470.7423,Acinetobacter baumannii strain MRSN11674,VITEK 2,
470.7423,Acinetobacter baumannii strain MRSN11674,BD Phoenix,
470.7423,Acinetobacter baumannii strain MRSN11674,MicroScan,
470.7424,Acinetobacter baumannii strain MRSN11675,MicroScan,
470.7424,Acinetobacter baumannii strain MRSN11675,VITEK 2,
470.7424,Acinetobacter baumannii strain MRSN11675,BD Phoenix,
470.7425,Acinetobacter baumannii strain MRSN11679,MicroScan,
470.7425,Acinetobacter baumannii strain MRSN11679,VITEK 2,
470.7425,Acinetobacter baumannii strain MRSN11679,BD Phoenix,
470.743,Acinetobacter baumannii strain MRSN11688,BD Phoenix,
470.743,Acinetobacter baumannii strain MRSN11688,MicroScan,
470.743,Acinetobacter baumannii strain MRSN11688,VITEK 2,
470.7435,Acinetobacter baumannii strain MRSN11701,VITEK 2,
470.7435,Acinetobacter baumannii strain MRSN11701,BD Phoenix,
470.7435,Acinetobacter baumannii strain MRSN11701,MicroScan,
470.7436,Acinetobacter baumannii strain MRSN11705,MicroScan,
470.7436,Acinetobacter baumannii strain MRSN11705,VITEK 2,
470.7436,Acinetobacter baumannii strain MRSN11705,BD Phoenix,
470.7437,Acinetobacter baumannii strain MRSN11706,MicroScan,
470.7437,Acinetobacter baumannii strain MRSN11706,VITEK 2,
470.7437,Acinetobacter baumannii strain MRSN11706,BD Phoenix,
470.7439,Acinetobacter baumannii strain MRSN11708,BD Phoenix,
470.7439,Acinetobacter baumannii strain MRSN11708,VITEK 2,
470.7439,Acinetobacter baumannii strain MRSN11708,MicroScan,
470.7441,Acinetobacter baumannii strain MRSN11710,VITEK 2,
470.7441,Acinetobacter baumannii strain MRSN11710,MicroScan,
470.7441,Acinetobacter baumannii strain MRSN11710,BD Phoenix,
470.7443,Acinetobacter baumannii strain MRSN11713,BD Phoenix,
470.7443,Acinetobacter baumannii strain MRSN11713,VITEK 2,
470.7443,Acinetobacter baumannii strain MRSN11713,MicroScan,
470.7449,Acinetobacter baumannii strain MRSN11723,MicroScan,
470.7449,Acinetobacter baumannii strain MRSN11723,BD Phoenix,
470.7449,Acinetobacter baumannii strain MRSN11723,VITEK 2,
470.7453,Acinetobacter baumannii strain MRSN11729,MicroScan,
470.7453,Acinetobacter baumannii strain MRSN11729,BD Phoenix,
470.7453,Acinetobacter baumannii strain MRSN11729,VITEK 2,
470.7459,Acinetobacter baumannii strain MRSN11739,MicroScan,
470.7459,Acinetobacter baumannii strain MRSN11739,BD Phoenix,
470.7459,Acinetobacter baumannii strain MRSN11739,VITEK 2,
470.746,Acinetobacter baumannii strain MRSN11742,BD Phoenix,
470.746,Acinetobacter baumannii strain MRSN11742,MicroScan,
470.746,Acinetobacter baumannii strain MRSN11742,VITEK 2,
470.7462,Acinetobacter baumannii strain MRSN11745,VITEK 2,
470.7462,Acinetobacter baumannii strain MRSN11745,MicroScan,
470.7462,Acinetobacter baumannii strain MRSN11745,BD Phoenix,
470.7463,Acinetobacter baumannii strain MRSN11746,MicroScan,
470.7463,Acinetobacter baumannii strain MRSN11746,BD Phoenix,
470.7463,Acinetobacter baumannii strain MRSN11746,VITEK 2,
470.7464,Acinetobacter baumannii strain MRSN11747,BD Phoenix,
470.7464,Acinetobacter baumannii strain MRSN11747,MicroScan,
470.7464,Acinetobacter baumannii strain MRSN11747,VITEK 2,
470.7466,Acinetobacter baumannii strain MRSN11749,MicroScan,
470.7466,Acinetobacter baumannii strain MRSN11749,BD Phoenix,
470.7466,Acinetobacter baumannii strain MRSN11749,VITEK 2,
470.7467,Acinetobacter baumannii strain MRSN11750,VITEK 2,
470.7467,Acinetobacter baumannii strain MRSN11750,BD Phoenix,
470.7467,Acinetobacter baumannii strain MRSN11750,MicroScan,
470.7469,Acinetobacter baumannii strain MRSN11753,VITEK 2,
470.7469,Acinetobacter baumannii strain MRSN11753,BD Phoenix,
470.7469,Acinetobacter baumannii strain MRSN11753,MicroScan,
470.7473,Acinetobacter baumannii strain MRSN11760,VITEK 2,
470.7473,Acinetobacter baumannii strain MRSN11760,BD Phoenix,
470.7473,Acinetobacter baumannii strain MRSN11760,MicroScan,
470.7478,Acinetobacter baumannii strain MRSN11765,MicroScan,
470.7478,Acinetobacter baumannii strain MRSN11765,VITEK 2,
470.7478,Acinetobacter baumannii strain MRSN11765,BD Phoenix,
470.7484,Acinetobacter baumannii strain MRSN11772,BD Phoenix,
470.7484,Acinetobacter baumannii strain MRSN11772,MicroScan,
470.7484,Acinetobacter baumannii strain MRSN11772,VITEK 2,
470.7485,Acinetobacter baumannii strain MRSN11774,BD Phoenix,
470.7485,Acinetobacter baumannii strain MRSN11774,VITEK 2,
470.7485,Acinetobacter baumannii strain MRSN11774,MicroScan,
470.7491,Acinetobacter baumannii strain MRSN11783,VITEK 2,
470.7491,Acinetobacter baumannii strain MRSN11783,BD Phoenix,
470.7491,Acinetobacter baumannii strain MRSN11783,MicroScan,
470.7493,Acinetobacter baumannii strain MRSN11788,VITEK 2,
470.7493,Acinetobacter baumannii strain MRSN11788,BD Phoenix,
470.7493,Acinetobacter baumannii strain MRSN11788,MicroScan,
470.7499,Acinetobacter baumannii strain MRSN11797,MicroScan,
470.7499,Acinetobacter baumannii strain MRSN11797,BD Phoenix,
470.7499,Acinetobacter baumannii strain MRSN11797,VITEK 2,
470.7501,Acinetobacter baumannii strain MRSN11803,VITEK 2,
470.7501,Acinetobacter baumannii strain MRSN11803,BD Phoenix,
470.7501,Acinetobacter baumannii strain MRSN11803,MicroScan,
470.7502,Acinetobacter baumannii strain MRSN11804,MicroScan,
470.7502,Acinetobacter baumannii strain MRSN11804,BD Phoenix,
470.7502,Acinetobacter baumannii strain MRSN11804,VITEK 2,
470.7503,Acinetobacter baumannii strain MRSN11806,MicroScan,
470.7503,Acinetobacter baumannii strain MRSN11806,BD Phoenix,
470.7503,Acinetobacter baumannii strain MRSN11806,VITEK 2,
470.7504,Acinetobacter baumannii strain MRSN11807,MicroScan,
470.7504,Acinetobacter baumannii strain MRSN11807,VITEK 2,
470.7504,Acinetobacter baumannii strain MRSN11807,BD Phoenix,
470.7505,Acinetobacter baumannii strain MRSN11811,MicroScan,
470.7505,Acinetobacter baumannii strain MRSN11811,BD Phoenix,
470.7505,Acinetobacter baumannii strain MRSN11811,VITEK 2,
470.7506,Acinetobacter baumannii strain MRSN11812,VITEK 2,
470.7506,Acinetobacter baumannii strain MRSN11812,BD Phoenix,
470.7506,Acinetobacter baumannii strain MRSN11812,MicroScan,
470.7507,Acinetobacter baumannii strain MRSN11813,VITEK 2,
470.7507,Acinetobacter baumannii strain MRSN11813,MicroScan,
470.7507,Acinetobacter baumannii strain MRSN11813,BD Phoenix,
470.7508,Acinetobacter baumannii strain MRSN11815,VITEK 2,
470.7508,Acinetobacter baumannii strain MRSN11815,MicroScan,
470.7508,Acinetobacter baumannii strain MRSN11815,BD Phoenix,
470.7509,Acinetobacter baumannii strain MRSN11816,BD Phoenix,
470.7509,Acinetobacter baumannii strain MRSN11816,MicroScan,
470.7509,Acinetobacter baumannii strain MRSN11816,VITEK 2,
470.751,Acinetobacter baumannii strain MRSN11819,BD Phoenix,
470.751,Acinetobacter baumannii strain MRSN11819,MicroScan,
470.751,Acinetobacter baumannii strain MRSN11819,VITEK 2,
470.7511,Acinetobacter baumannii strain MRSN11820,MicroScan,
470.7511,Acinetobacter baumannii strain MRSN11820,BD Phoenix,
470.7511,Acinetobacter baumannii strain MRSN11820,VITEK 2,
470.7512,Acinetobacter baumannii strain MRSN11821,MicroScan,
470.7512,Acinetobacter baumannii strain MRSN11821,VITEK 2,
470.7512,Acinetobacter baumannii strain MRSN11821,BD Phoenix,
470.7513,Acinetobacter baumannii strain MRSN11822,VITEK 2,
470.7513,Acinetobacter baumannii strain MRSN11822,BD Phoenix,
470.7513,Acinetobacter baumannii strain MRSN11822,MicroScan,
470.7514,Acinetobacter baumannii strain MRSN11823,BD Phoenix,
470.7514,Acinetobacter baumannii strain MRSN11823,MicroScan,
470.7514,Acinetobacter baumannii strain MRSN11823,VITEK 2,
470.7515,Acinetobacter baumannii strain MRSN11825,MicroScan,
470.7515,Acinetobacter baumannii strain MRSN11825,BD Phoenix,
470.7515,Acinetobacter baumannii strain MRSN11825,VITEK 2,
470.7516,Acinetobacter baumannii strain MRSN11826,VITEK 2,
470.7516,Acinetobacter baumannii strain MRSN11826,BD Phoenix,
470.7516,Acinetobacter baumannii strain MRSN11826,MicroScan,
470.7529,Acinetobacter baumannii strain MRSN15039,BD Phoenix,
470.7529,Acinetobacter baumannii strain MRSN15039,MicroScan,
470.7529,Acinetobacter baumannii strain MRSN15039,VITEK 2,
470.753,Acinetobacter baumannii strain MRSN15042,VITEK 2,
470.753,Acinetobacter baumannii strain MRSN15042,MicroScan,
470.753,Acinetobacter baumannii strain MRSN15042,BD Phoenix,
470.7533,Acinetobacter baumannii strain MRSN15045,MicroScan,
470.7533,Acinetobacter baumannii strain MRSN15045,VITEK 2,
470.7533,Acinetobacter baumannii strain MRSN15045,BD Phoenix,
470.7534,Acinetobacter baumannii strain MRSN15046,BD Phoenix,
470.7534,Acinetobacter baumannii strain MRSN15046,MicroScan,
470.7534,Acinetobacter baumannii strain MRSN15046,VITEK 2,
470.7536,Acinetobacter baumannii strain MRSN15048,MicroScan,
470.7536,Acinetobacter baumannii strain MRSN15048,BD Phoenix,
470.7536,Acinetobacter baumannii strain MRSN15048,VITEK 2,
470.7538,Acinetobacter baumannii strain MRSN15065,VITEK 2,
470.7538,Acinetobacter baumannii strain MRSN15065,MicroScan,
470.7538,Acinetobacter baumannii strain MRSN15065,BD Phoenix,
470.7539,Acinetobacter baumannii strain MRSN15066,VITEK 2,
470.7539,Acinetobacter baumannii strain MRSN15066,BD Phoenix,
470.7539,Acinetobacter baumannii strain MRSN15066,MicroScan,
470.7542,Acinetobacter baumannii strain MRSN15070,VITEK 2,
470.7542,Acinetobacter baumannii strain MRSN15070,MicroScan,
470.7542,Acinetobacter baumannii strain MRSN15070,BD Phoenix,
470.7549,Acinetobacter baumannii strain MRSN15079,MicroScan,
470.7549,Acinetobacter baumannii strain MRSN15079,VITEK 2,
470.7549,Acinetobacter baumannii strain MRSN15079,BD Phoenix,
470.7551,Acinetobacter baumannii strain MRSN15081,MicroScan,
470.7551,Acinetobacter baumannii strain MRSN15081,VITEK 2,
470.7551,Acinetobacter baumannii strain MRSN15081,BD Phoenix,
470.7555,Acinetobacter baumannii strain MRSN15085,BD Phoenix,
470.7555,Acinetobacter baumannii strain MRSN15085,MicroScan,
470.7555,Acinetobacter baumannii strain MRSN15085,VITEK 2,
470.7556,Acinetobacter baumannii strain MRSN15086,BD Phoenix,
470.7556,Acinetobacter baumannii strain MRSN15086,VITEK 2,
470.7556,Acinetobacter baumannii strain MRSN15086,MicroScan,
470.7574,Acinetobacter baumannii strain MRSN2427,VITEK 2,
470.7574,Acinetobacter baumannii strain MRSN2427,BD Phoenix,
470.7574,Acinetobacter baumannii strain MRSN2427,MicroScan,
470.7575,Acinetobacter baumannii strain MRSN2441,VITEK 2,
470.7575,Acinetobacter baumannii strain MRSN2441,MicroScan,
470.7575,Acinetobacter baumannii strain MRSN2441,BD Phoenix,
470.7576,Acinetobacter baumannii strain MRSN2821,BD Phoenix,
470.7576,Acinetobacter baumannii strain MRSN2821,VITEK 2,
470.7576,Acinetobacter baumannii strain MRSN2821,MicroScan,
470.7577,Acinetobacter baumannii strain MRSN2830,MicroScan,
470.7577,Acinetobacter baumannii strain MRSN2830,VITEK 2,
470.7577,Acinetobacter baumannii strain MRSN2830,BD Phoenix,
470.7578,Acinetobacter baumannii strain MRSN2839,BD Phoenix,
470.7578,Acinetobacter baumannii strain MRSN2839,VITEK 2,
470.7578,Acinetobacter baumannii strain MRSN2839,MicroScan,
470.7579,Acinetobacter baumannii strain MRSN2840,MicroScan,
470.7579,Acinetobacter baumannii strain MRSN2840,VITEK 2,
470.7579,Acinetobacter baumannii strain MRSN2840,BD Phoenix,
470.7587,Acinetobacter baumannii strain MRSN7069,VITEK 2,
470.7587,Acinetobacter baumannii strain MRSN7069,BD Phoenix,
470.7587,Acinetobacter baumannii strain MRSN7069,MicroScan,
470.7589,Acinetobacter baumannii strain MRSN7072,BD Phoenix,
470.7589,Acinetobacter baumannii strain MRSN7072,MicroScan,
470.7589,Acinetobacter baumannii strain MRSN7072,VITEK 2,
470.7595,Acinetobacter baumannii strain MRSN7086,MicroScan,
470.7595,Acinetobacter baumannii strain MRSN7086,VITEK 2,
470.7595,Acinetobacter baumannii strain MRSN7086,BD Phoenix,
470.7603,Acinetobacter baumannii strain MRSN7108,BD Phoenix,
470.7603,Acinetobacter baumannii strain MRSN7108,VITEK 2,
470.7603,Acinetobacter baumannii strain MRSN7108,MicroScan,
470.7617,Acinetobacter baumannii strain MRSN7128,BD Phoenix,
470.7617,Acinetobacter baumannii strain MRSN7128,VITEK 2,
470.7617,Acinetobacter baumannii strain MRSN7128,MicroScan,
470.7623,Acinetobacter baumannii strain MRSN7134,VITEK 2,
470.7623,Acinetobacter baumannii strain MRSN7134,MicroScan,
470.7623,Acinetobacter baumannii strain MRSN7134,BD Phoenix,
470.7632,Acinetobacter baumannii strain MRSN7147,VITEK 2,
470.7632,Acinetobacter baumannii strain MRSN7147,MicroScan,
470.7632,Acinetobacter baumannii strain MRSN7147,BD Phoenix,
470.7634,Acinetobacter baumannii strain MRSN7149,BD Phoenix,
470.7634,Acinetobacter baumannii strain MRSN7149,VITEK 2,
470.7634,Acinetobacter baumannii strain MRSN7149,MicroScan,
470.7637,Acinetobacter baumannii strain MRSN7154,VITEK 2,
470.7637,Acinetobacter baumannii strain MRSN7154,MicroScan,
470.7637,Acinetobacter baumannii strain MRSN7154,BD Phoenix,
470.7638,Acinetobacter baumannii strain MRSN7155,MicroScan,
470.7638,Acinetobacter baumannii strain MRSN7155,BD Phoenix,
470.7638,Acinetobacter baumannii strain MRSN7155,VITEK 2,
470.7643,Acinetobacter baumannii strain MRSN7160,BD Phoenix,
470.7643,Acinetobacter baumannii strain MRSN7160,VITEK 2,
470.7643,Acinetobacter baumannii strain MRSN7160,MicroScan,
470.7644,Acinetobacter baumannii strain MRSN7161,MicroScan,
470.7644,Acinetobacter baumannii strain MRSN7161,VITEK 2,
470.7644,Acinetobacter baumannii strain MRSN7161,BD Phoenix,
470.7653,Acinetobacter baumannii strain MRSN7170,BD Phoenix,
470.7653,Acinetobacter baumannii strain MRSN7170,MicroScan,
470.7653,Acinetobacter baumannii strain MRSN7170,VITEK 2,
470.7656,Acinetobacter baumannii strain MRSN7173,VITEK 2,
470.7656,Acinetobacter baumannii strain MRSN7173,BD Phoenix,
470.7656,Acinetobacter baumannii strain MRSN7173,MicroScan,
470.766,Acinetobacter baumannii strain MRSN7184,VITEK 2,
470.766,Acinetobacter baumannii strain MRSN7184,BD Phoenix,
470.766,Acinetobacter baumannii strain MRSN7184,MicroScan,
470.7666,Acinetobacter baumannii strain MRSN7204,BD Phoenix,
470.7666,Acinetobacter baumannii strain MRSN7204,MicroScan,
470.7666,Acinetobacter baumannii strain MRSN7204,VITEK 2,
470.7675,Acinetobacter baumannii strain MRSN7217,VITEK 2,
470.7675,Acinetobacter baumannii strain MRSN7217,MicroScan,
470.7675,Acinetobacter baumannii strain MRSN7217,BD Phoenix,
470.7678,Acinetobacter baumannii strain MRSN7220,VITEK 2,
470.7678,Acinetobacter baumannii strain MRSN7220,MicroScan,
470.7678,Acinetobacter baumannii strain MRSN7220,BD Phoenix,
470.768,Acinetobacter baumannii strain MRSN7222,MicroScan,
470.768,Acinetobacter baumannii strain MRSN7222,VITEK 2,
470.768,Acinetobacter baumannii strain MRSN7222,BD Phoenix,
470.7681,Acinetobacter baumannii strain MRSN7223,VITEK 2,
470.7681,Acinetobacter baumannii strain MRSN7223,MicroScan,
470.7681,Acinetobacter baumannii strain MRSN7223,BD Phoenix,
470.7688,Acinetobacter baumannii strain MRSN7232,VITEK 2,
470.7688,Acinetobacter baumannii strain MRSN7232,BD Phoenix,
470.7688,Acinetobacter baumannii strain MRSN7232,MicroScan,
470.7689,Acinetobacter baumannii strain MRSN7235,MicroScan,
470.7689,Acinetobacter baumannii strain MRSN7235,VITEK 2,
470.7689,Acinetobacter baumannii strain MRSN7235,BD Phoenix,
470.7691,Acinetobacter baumannii strain MRSN7236,VITEK 2,
470.7691,Acinetobacter baumannii strain MRSN7236,MicroScan,
470.7691,Acinetobacter baumannii strain MRSN7236,BD Phoenix,
470.7693,Acinetobacter baumannii strain MRSN7238,VITEK 2,
470.7693,Acinetobacter baumannii strain MRSN7238,BD Phoenix,
470.7693,Acinetobacter baumannii strain MRSN7238,MicroScan,
470.7709,Acinetobacter baumannii strain MRSN7257,BD Phoenix,
470.7709,Acinetobacter baumannii strain MRSN7257,VITEK 2,
470.7709,Acinetobacter baumannii strain MRSN7257,MicroScan,
470.7718,Acinetobacter baumannii strain MRSN7271,MicroScan,
470.7718,Acinetobacter baumannii strain MRSN7271,VITEK 2,
470.7718,Acinetobacter baumannii strain MRSN7271,BD Phoenix,
470.772,Acinetobacter baumannii strain MRSN7273,VITEK 2,
470.772,Acinetobacter baumannii strain MRSN7273,BD Phoenix,
470.772,Acinetobacter baumannii strain MRSN7273,MicroScan,
470.7724,Acinetobacter baumannii strain MRSN7279,VITEK 2,
470.7724,Acinetobacter baumannii strain MRSN7279,BD Phoenix,
470.7724,Acinetobacter baumannii strain MRSN7279,MicroScan,
470.7726,Acinetobacter baumannii strain MRSN7281,BD Phoenix,
470.7726,Acinetobacter baumannii strain MRSN7281,VITEK 2,
470.7726,Acinetobacter baumannii strain MRSN7281,MicroScan,
470.7728,Acinetobacter baumannii strain MRSN7284,BD Phoenix,
470.7728,Acinetobacter baumannii strain MRSN7284,MicroScan,
470.7728,Acinetobacter baumannii strain MRSN7284,VITEK 2,
470.7743,Acinetobacter baumannii strain MRSN7304,BD Phoenix,
470.7743,Acinetobacter baumannii strain MRSN7304,MicroScan,
470.7743,Acinetobacter baumannii strain MRSN7304,VITEK 2,
470.7744,Acinetobacter baumannii strain MRSN7305,VITEK 2,
470.7744,Acinetobacter baumannii strain MRSN7305,BD Phoenix,
470.7744,Acinetobacter baumannii strain MRSN7305,MicroScan,
470.7745,Acinetobacter baumannii strain MRSN7306,MicroScan,
470.7745,Acinetobacter baumannii strain MRSN7306,VITEK 2,
470.7745,Acinetobacter baumannii strain MRSN7306,BD Phoenix,
470.7747,Acinetobacter baumannii strain MRSN7309,MicroScan,
470.7747,Acinetobacter baumannii strain MRSN7309,BD Phoenix,
470.7747,Acinetobacter baumannii strain MRSN7309,VITEK 2,
470.7748,Acinetobacter baumannii strain MRSN7310,VITEK 2,
470.7748,Acinetobacter baumannii strain MRSN7310,BD Phoenix,
470.7748,Acinetobacter baumannii strain MRSN7310,MicroScan,
470.7751,Acinetobacter baumannii strain MRSN7314,BD Phoenix,
470.7751,Acinetobacter baumannii strain MRSN7314,VITEK 2,
470.7751,Acinetobacter baumannii strain MRSN7314,MicroScan,
470.7757,Acinetobacter baumannii strain MRSN7324,BD Phoenix,
470.7757,Acinetobacter baumannii strain MRSN7324,VITEK 2,
470.7757,Acinetobacter baumannii strain MRSN7324,MicroScan,
470.7761,Acinetobacter baumannii strain MRSN7328,MicroScan,
470.7761,Acinetobacter baumannii strain MRSN7328,VITEK 2,
470.7761,Acinetobacter baumannii strain MRSN7328,BD Phoenix,
470.7762,Acinetobacter baumannii strain MRSN7330,VITEK 2,
470.7762,Acinetobacter baumannii strain MRSN7330,BD Phoenix,
470.7762,Acinetobacter baumannii strain MRSN7330,MicroScan,
470.7768,Acinetobacter baumannii strain MRSN7344,VITEK 2,
470.7768,Acinetobacter baumannii strain MRSN7344,MicroScan,
470.7768,Acinetobacter baumannii strain MRSN7344,BD Phoenix,
470.7769,Acinetobacter baumannii strain MRSN7345,VITEK 2,
470.7769,Acinetobacter baumannii strain MRSN7345,BD Phoenix,
470.7769,Acinetobacter baumannii strain MRSN7345,MicroScan,
470.7771,Acinetobacter baumannii strain MRSN7347,BD Phoenix,
470.7771,Acinetobacter baumannii strain MRSN7347,VITEK 2,
470.7771,Acinetobacter baumannii strain MRSN7347,MicroScan,
470.7773,Acinetobacter baumannii strain MRSN7349,BD Phoenix,
470.7773,Acinetobacter baumannii strain MRSN7349,VITEK 2,
470.7773,Acinetobacter baumannii strain MRSN7349,MicroScan,
470.7774,Acinetobacter baumannii strain MRSN7350,MicroScan,
470.7774,Acinetobacter baumannii strain MRSN7350,BD Phoenix,
470.7774,Acinetobacter baumannii strain MRSN7350,VITEK 2,
470.7778,Acinetobacter baumannii strain MRSN7354,BD Phoenix,
470.7778,Acinetobacter baumannii strain MRSN7354,VITEK 2,
470.7778,Acinetobacter baumannii strain MRSN7354,MicroScan,
470.7779,Acinetobacter baumannii strain MRSN7355,VITEK 2,
470.7779,Acinetobacter baumannii strain MRSN7355,MicroScan,
470.7779,Acinetobacter baumannii strain MRSN7355,BD Phoenix,
470.7781,Acinetobacter baumannii strain MRSN7357,VITEK 2,
470.7781,Acinetobacter baumannii strain MRSN7357,MicroScan,
470.7781,Acinetobacter baumannii strain MRSN7357,BD Phoenix,
470.7782,Acinetobacter baumannii strain MRSN7359,MicroScan,
470.7782,Acinetobacter baumannii strain MRSN7359,BD Phoenix,
470.7782,Acinetobacter baumannii strain MRSN7359,VITEK 2,
470.7784,Acinetobacter baumannii strain MRSN7361,VITEK 2,
470.7784,Acinetobacter baumannii strain MRSN7361,BD Phoenix,
470.7784,Acinetobacter baumannii strain MRSN7361,MicroScan,
470.7786,Acinetobacter baumannii strain MRSN7363,VITEK 2,
470.7786,Acinetobacter baumannii strain MRSN7363,MicroScan,
470.7786,Acinetobacter baumannii strain MRSN7363,BD Phoenix,
470.7788,Acinetobacter baumannii strain MRSN7365,MicroScan,
470.7788,Acinetobacter baumannii strain MRSN7365,BD Phoenix,
470.7788,Acinetobacter baumannii strain MRSN7365,VITEK 2,
470.7789,Acinetobacter baumannii strain MRSN7366,VITEK 2,
470.7789,Acinetobacter baumannii strain MRSN7366,MicroScan,
470.7789,Acinetobacter baumannii strain MRSN7366,BD Phoenix,
470.7792,Acinetobacter baumannii strain MRSN7370,MicroScan,
470.7792,Acinetobacter baumannii strain MRSN7370,BD Phoenix,
470.7792,Acinetobacter baumannii strain MRSN7370,VITEK 2,
470.7793,Acinetobacter baumannii strain MRSN7372,MicroScan,
470.7793,Acinetobacter baumannii strain MRSN7372,VITEK 2,
470.7793,Acinetobacter baumannii strain MRSN7372,BD Phoenix,
470.7794,Acinetobacter baumannii strain MRSN7373,BD Phoenix,
470.7794,Acinetobacter baumannii strain MRSN7373,VITEK 2,
470.7794,Acinetobacter baumannii strain MRSN7373,MicroScan,
