Sample_ID_IfH,Organism_Code,meropenem,cefoxitin,ertapenem,tobramycin,tigecycline,piperacillin/tazobactam,cefotaxime,cefpodoxime,cefpodoxime_clavulanic_acid,amoxicillin/clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,chloramphenicol,streptomycin,cefepime,trimethoprim,trimethoprim/sulfamethoxazole,norfloxacin,tetracycline,ciprofloxacin,nitrofurantoin,ceftazidime,azithromycin,sulfamethoxazole,aztreonam,ceftolozane/tazobactam,cephalothin,cefotetan,cefuroxime,imipenem,ampicillin/sulbactam,ceftazidime/avibactam,cefazolin,nalidixic acid,levofloxacin,moxifloxacin,trimethoprim/sulfobactam,cefalotin,ticarcillin/clavulanic acid,piperacillin,colistin,fosfomycin,netilmicin,beta-lactam,ticarcillin
573.41972,EKP,=1,=16,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=2,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40416,EKP,>=16,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,>=16,>=4,>=512,>=64,,,>=64,>=32/4,>=64,=32,>=64,=2,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44071,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,=2,,<=1/19,,<=1,<=25,<=16,=4,,,=4,<=25/4,>=64,<=4,>=64,<=25,=8/4,<=12/4,>=64,=4,<=12,<=25,,,,,,,,,
573.44079,EKP,<=25,<=4,<=12,>=16,<=5,=8/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=64,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=8,=1,=2,,,,,,,,,
573.32137,EKP,<=0.25,<=4,<=0.12,,,,,,,,>=32,<=1,<=2,>=64,=4,,,,,,,=0.5,=64,=32,,,,,,,,,,,>=64,,,,,,,,=1,=64,,,
573.42098,EKP,<=25,<=4,<=12,>=16,=1,=32/4,=32,>=8,,,>=32,<=1,<=2,=32,,,=2,,>=16/304,,>=16,>=4,=64,>=64,,,>=64,=8/4,>=64,<=4,=16,<=25,>=32/16,=25/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41083,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,<=1,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41124,EKP,<=25,<=4,<=12,=4,=1,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=5,=128,=4,,,=2,<=25/4,>=64,<=4,>=64,<=25,=16/8,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.42014,EKP,=2,<=4,<=12,<=1,<=5,>=128/4,=5,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,<=1,=1,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.42952,EKP,<=25,<=4,<=12,>=16,=1,=16/4,=16,>=8,,,>=32,>=16,=16,=32,,,=2,,>=16/304,,>=16,=1,=64,>=64,,,>=64,=8/4,>=64,<=4,>=64,=5,>=32/16,=5/4,>=64,=16,=1,=2,,,,,,,,,
573.40381,EKP,<=25,=32,<=12,<=1,>=8,>=128/4,<=25,=2,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,<=25,=128,<=1,,,<=1,=1/4,=32,<=4,=32,<=25,>=32/16,=5/4,=16,>=32,=1,=1,,,,,,,,,
573.44109,EKP,>=16,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,>=16,>=4,>=512,>=64,,,>=64,>=32/4,>=64,=32,>=64,=2,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.4194,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,=2,=8,>=64,,,>=32,,<=1/19,,=4,>=4,>=512,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
1438782.3,EKP,8,,>=8,,2,,>=64,,,,>=32,<=1,16,,,,,,>=320,,,>=4,256,,,,,,16,,,8,>=32,,>=64,,>=8,,,,,,,,,,
573.44104,EKP,>=16,=32,>=8,<=1,<=5,>=128/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,=4,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,>=16,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44072,EKP,>=16,>=64,>=8,>=16,=4,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44055,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,=2,=8,>=64,,,>=32,,<=1/19,,=4,>=4,>=512,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41085,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.44145,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,=2/38,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.24295,EKP,<=0.25,=16,<=0.5,>=16,,=16/4,,,,=16/8,>=32,<=1,=8,>=64,,,=8,,<=1/19,,>=16,>=4,,=32,,,,,,,,,,,,,>=8,,,,,,,,,,
573.5712,EKP,<=0.25,<=4,<=0.5,8,<=0.5,8,>=64,,,16,>=32,>=16,<=2,,,,>=64,<=0.5,,,,<=0.25,,>=64,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
573.42962,EKP,<=25,<=4,<=12,>=16,=1,=16/4,>=64,>=8,,,>=32,<=1,=4,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=4,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.41148,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,=5,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.41129,EKP,<=25,<=4,<=12,<=1,=1,>=128/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,=4,>=4,=256,<=1,,,<=1,=5/4,>=64,<=4,=16,<=25,>=32/16,=25/4,=16,>=32,=4,>=8,,,,,,,,,
573.5811,EKP,>=16,>=64,>=8,8,2,>=128,>=64,,,>=32,>=32,8,8,,,,>=64,>=16,,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
573.32134,EKP,<=0.25,<=4,<=0.12,,,,,,,,>=32,<=1,<=2,>=64,=4,,,,,,,<=0.25,<=16,=8,,,,,,,,,,,>=64,,,,,,,,<=0.5,<=16,,,
573.41988,EKP,<=25,<=4,<=12,<=1,=1,>=128/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,=4,>=4,=256,<=1,,,<=1,=5/4,>=64,<=4,=16,<=25,>=32/16,=25/4,=16,>=32,=4,>=8,,,,,,,,,
72407.509,EKP,>=16,>=64,>=8,>=16,1,>=128,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,<=20,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41959,EKP,<=25,=32,<=12,<=1,>=8,>=128/4,<=25,=2,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,<=25,=128,<=1,,,<=1,=1/4,=32,<=4,=32,<=25,>=32/16,=5/4,=16,>=32,=1,=1,,,,,,,,,
573.40438,EKP,<=25,=16,,>=16,<=5,=64/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,=2/38,,<=1,<=25,=256,>=64,,,>=64,=16/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,<=2,<=12,<=25,,,,,,,,,
573.4111,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.41109,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=8,=1,=2,,,,,,,,,
573.42949,EKP,<=25,<=4,<=12,<=1,=1,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.44062,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,=4,<=4,=4,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.40423,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,=5,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.4045,EKP,<=25,=16,<=12,=4,>=8,=16/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,=8,,=8/152,,>=16,>=4,=256,<=1,,,=4,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41956,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,=2,,<=1/19,,<=1,<=25,<=16,=4,,,=4,<=25/4,>=64,<=4,>=64,<=25,=8/4,<=12/4,>=64,=4,<=12,<=25,,,,,,,,,
573.27349,EKP,=1,,,,,,,,,=1/1,=1,=1,=1,=1,=1,,,=1,,,,=1,=1,,,=1,=1,,,,,=1,,,,,,,,,,,,=1,=1,,
573.44054,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
1400171.3,EKP,<=0.25,<=4,<=0.25,,<=2,,<=1,,,,>=32,<=1,<=2,,,,,,<=20,,,<=0.25,64,<=1,,,,,<=1,,,<=1,8,,<=2,,<=0.12,,,,,,,,,,
573.5819,EKP,<=0.25,<=4,<=0.5,>=16,2,16,>=64,,,16,>=32,>=16,<=2,,,,>=64,<=0.5,,,,1,,16,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
