Sample_ID_IfH,Organism_Code,meropenem,cefoxitin,ertapenem,tobramycin,tigecycline,piperacillin/tazobactam,cefotaxime,cefpodoxime,cefpodoxime_clavulanic_acid,amoxicillin/clavulanic acid,ampicillin,gentamicin,amikacin,ceftriaxone,chloramphenicol,streptomycin,cefepime,trimethoprim,trimethoprim/sulfamethoxazole,norfloxacin,tetracycline,ciprofloxacin,nitrofurantoin,ceftazidime,azithromycin,sulfamethoxazole,aztreonam,ceftolozane/tazobactam,cephalothin,cefotetan,cefuroxime,imipenem,ampicillin/sulbactam,ceftazidime/avibactam,cefazolin,nalidixic acid,levofloxacin,moxifloxacin,trimethoprim/sulfobactam,cefalotin,ticarcillin/clavulanic acid,piperacillin,colistin,fosfomycin,netilmicin,beta-lactam,ticarcillin
573.40439,EKP,<=25,<=4,<=12,<=1,=1,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,>=16,=1,=128,<=1,,,<=1,<=25/4,<=2,<=4,<=1,<=25,=4/2,<=12/4,<=4,=16,=1,=4,,,,,,,,,
573.40379,EKP,>=16,>=64,>=8,>=16,=4,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40436,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,=25/4,<=4,=4,<=12,<=25,,,,,,,,,
573.42926,EKP,<=25,<=4,<=12,<=1,=1,=16/4,=32,>=8,,,>=32,<=1,<=2,=32,,,=8,,>=16/304,,>=16,=1,=128,<=1,,,=2,=1/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=2,,,,,,,,,
573.44111,EKP,<=25,<=4,<=12,=8,<=5,<=4/4,<=25,<=25,,,>=32,>=16,<=2,<=25,,,<=12,,<=1/19,,>=16,>=4,<=16,<=1,,,<=1,<=25/4,=16,<=4,<=1,<=25,<=2/1,<=12/4,=16,>=32,>=8,>=8,,,,,,,,,
573.42878,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,=4,<=4,=4,<=25,=8/4,=25/4,<=4,=4,<=12,<=25,,,,,,,,,
573.40408,EKP,<=25,<=4,<=12,<=1,=1,=16/4,=32,>=8,,,>=32,<=1,<=2,=32,,,=8,,>=16/304,,>=16,=1,=128,<=1,,,=2,=1/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=2,,,,,,,,,
573.44092,EKP,>=16,>=64,>=8,>=16,<=5,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,=2,=2,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=8,>=32/16,=4/4,>=64,=16,=1,=2,,,,,,,,,
573.44087,EKP,<=25,<=4,<=12,=8,<=5,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=4,,,,,,,,,
573.24283,EKP,<=0.25,=32,<=0.5,<=1,,>=128/4,,,,=16/8,>=32,<=1,<=2,=16,,,=2,,<=1/19,,=8,>=4,=128,>=64,,,,,,,,,,,>=64,,>=8,,,,,,,,,,
573.40384,EKP,<=25,<=4,<=12,=8,=1,=64/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=64,=16,,,>=64,=4/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=4,<=12,<=25,,,,,,,,,
573.42913,EKP,<=25,<=4,<=12,>=16,<=5,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,=2,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,<=25,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.506,EKP,<=0.25,16,0.25,>=16,1,>=128,>=64,,,>=32,>=32,4,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41158,EKP,<=25,<=4,<=12,<=1,=1,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.44089,EKP,<=25,<=4,<=12,>=16,<=5,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,=2,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,<=25,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.4201,EKP,<=25,<=4,<=12,=8,<=5,=32/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,=2,>=4,>=512,=16,,,>=64,=1/4,>=64,<=4,>=64,=5,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.40393,EKP,<=25,<=4,<=12,=8,<=5,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=4,,,,,,,,,
573.42031,EKP,<=25,<=4,<=12,<=1,<=5,=8/4,<=25,<=25,,,<=2,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=32,<=1,,,<=1,<=25/4,<=2,<=4,<=1,<=25,<=2/1,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
1438807.3,EKP,<=0.25,16,<0.25,,4,,<=1,,,,>=32,<=1,<=2,,,,,,<=20,,,1,256,<=1,,,,,<=1,,,<=1,8,,4,,1,,,,,,,,,,
573.40372,EKP,<=25,<=4,<=12,<=1,=1,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,=4,=2,=256,<=1,,,<=1,=5/4,=8,<=4,=4,<=25,=8/4,=5/4,<=4,>=32,=4,>=8,,,,,,,,,
573.41958,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.42876,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,<=1,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
1400178.3,EKP,>=16,>=64,>=1,,<=2,,>=64,,,,>=32,8,16,,,,,,>=320,,,>=4,256,>=64,,,,,16,,,,,,>=8,,>=8,,,,,,,,,,
72407.485,EKP,<=0.25,8,0.25,>=16,2,>=128,>=64,,,>=32,>=32,8,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.44056,EKP,<=25,<=4,<=12,=2,=1,<=4/4,=32,>=8,,,>=32,>=16,<=2,=32,,,>=32,,<=1/19,,>=16,=2,=64,<=1,,,<=1,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.40368,EKP,<=25,<=4,<=12,=8,=1,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=256,=8,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.44114,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=128,>=64,,,>=64,=16/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.41984,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,<=25,=64,<=1,,,<=1,<=25/4,=4,<=4,<=1,<=25,>=32/16,=25/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.44094,EKP,<=25,<=4,<=12,>=16,=1,=16/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,=1,=64,=8,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.5677,EKP,<=0.25,<=4,<=0.5,4,4,16,>=64,,,16,>=32,>=16,<=2,,,,>=64,>=16,,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
573.44091,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.40362,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.41987,EKP,<=25,>=64,<=12,=8,=4,=64/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=128,=16,,,>=64,=1/4,>=64,<=4,>=64,=1,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.41108,EKP,=8,>=64,>=8,>=16,>=8,>=128/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=64,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,>=16/4,>=64,>=32,=4,>=8,,,,,,,,,
573.5813,EKP,<=0.25,<=4,<=0.5,8,1,8,>=64,,,8,>=32,>=16,<=2,,,,>=64,<=0.5,,,,1,,>=64,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
573.41131,EKP,<=25,>=64,<=12,=8,=4,=64/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=128,=16,,,>=64,=1/4,>=64,<=4,>=64,=1,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42004,EKP,<=25,<=4,<=12,<=1,<=5,>=128/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,>=16,<=25,=256,<=1,,,<=1,<=25/4,=8,<=4,=2,<=25,>=32/16,<=12/4,>=64,<=2,<=12,<=25,,,,,,,,,
1400173.3,EKP,<=0.25,<=4,<=0.25,,<=2,,<=1,,,,>=32,<=1,<=2,,,,,,<=20,,,<=0.25,<=16,<=1,,,,,<=1,,,<=1,4,,<=2,,<=0.12,,,,,,,,,,
573.41143,EKP,<=25,>=64,,>=16,=1,=16/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,=8,>=4,=128,=16,,,>=64,=1/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.497,EKP,<=0.25,16,0.25,>=16,1,>=128,>=64,,,>=32,>=32,4,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.40425,EKP,<=25,<=4,<=12,<=1,<=5,=32/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,>=16/304,,<=1,<=25,=64,<=1,,,<=1,<=25/4,=4,<=4,<=1,<=25,>=32/16,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.41169,EKP,<=25,<=4,<=12,>=16,<=5,=32/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,<=1,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.41146,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,<=16,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.40429,EKP,<=25,<=4,<=12,<=1,<=5,=64/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,>=16,=1,=128,<=1,,,<=1,<=25/4,=8,<=4,=2,<=25,>=32/16,<=12/4,<=4,>=32,=1,=2,,,,,,,,,
573.40409,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,=8,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,<=2/1,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
72407.481,EKP,<=0.25,16,0.25,>=16,2,>=128,>=64,,,>=32,>=32,4,8,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41939,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
72407.571,EKP,<=0.25,16,0.25,>=16,2,32,>=64,,,>=32,>=32,4,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.44135,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,=2/38,,>=16,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,<=2,<=12,<=25,,,,,,,,,
573.41957,EKP,>=16,>=64,>=8,>=16,=4,>=128/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,=8,>=4,=256,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42902,EKP,<=25,<=4,<=12,=8,=1,=64/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=64,=16,,,>=64,=4/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=4,<=12,<=25,,,,,,,,,
72407.574,EKP,>=16,>=64,>=8,>=16,1,>=128,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,2,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.4196,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=4,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.40377,EKP,<=25,=16,=1,>=16,<=5,=64/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,<=1/19,,=2,>=4,>=512,>=64,,,>=64,>=32/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42897,EKP,<=25,<=4,<=12,>=16,<=5,=16/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
72407.566,EKP,<=0.25,<=4,<=0.12,>=16,2,32,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,2,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.40447,EKP,<=25,>=64,<=12,=8,=1,>=128/4,=16,>=8,,,>=32,=8,<=2,=32,,,=1,,>=16/304,,=4,>=4,=256,>=64,,,=4,=16/4,>=64,>=64,>=64,<=25,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.507,EKP,<=0.25,<=4,<=0.12,>=16,2,64,>=64,,,>=32,>=32,>=16,8,,,,>=32,,>=320,,,2,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41174,EKP,<=25,=16,<=12,=4,>=8,=16/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,=8,,=8/152,,>=16,>=4,=256,<=1,,,=4,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
1400185.3,EKP,<=0.25,<=4,<=0.25,,<=2,,16,,,,>=32,>=16,16,,,,,,>=320,,,>=4,256,>=64,,,,,<=1,,,<=1,>=32,,>=8,,>=8,,,,,,,,,,
573.42907,EKP,>=16,=16,>=8,=8,=2,>=128/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,>=4,=64,=16,,,>=64,>=32/4,>=64,=8,>=64,>=16,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.556,EKP,<=0.25,<=4,<=0.12,>=16,1,32,>=64,,,>=32,>=32,>=16,4,,,,>=32,,>=320,,,2,,32,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.27346,EKP,=1,,,,,,,,,=1/1,=1,=1,=1,=1,=1,,,=1,,,,=1,=1,,,=1,=1,,,,,=1,,,,,,,,,,,,=1,=1,,
1438794.3,EKP,>=16,,>=8,,2,,>=64,,,,>=32,<=1,>=64,,,,,,>=320,,,>=4,>=512,,,,,,>=64,,,>=16,>=32,,>=64,,>=8,,,,,,,,,,
573.4203,EKP,<=25,=16,<=12,=4,>=8,=16/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,=8,,=8/152,,>=16,>=4,=256,<=1,,,=4,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44119,EKP,<=25,<=4,<=12,>=16,<=5,=32/4,>=64,>=8,,,>=32,>=16,<=2,=32,,,=4,,>=16/304,,=2,>=4,>=512,>=64,,,>=64,=8/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.15029,EKP,>=16,,>=8,,,,,,,,,4,>=64,,,,,,<=20,,,>=4,,,,,,,,,,>=16,,,,,,,,,,,,,,,
573.42026,EKP,<=25,=16,<=12,>=16,=1,>=128/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,>=16,>=4,=64,>=64,,,>=64,=16/4,>=64,<=4,>=64,=5,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.40446,EKP,<=25,=16,<=12,>=16,=1,>=128/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,>=16,>=4,=64,>=64,,,>=64,=16/4,>=64,<=4,>=64,=5,>=32/16,<=12/4,>=64,>=32,=4,>=8,,,,,,,,,
573.40403,EKP,=8,>=64,>=8,=8,=4,>=128/4,>=64,>=8,,,>=32,>=16,=16,>=64,,,>=32,,>=16/304,,>=16,>=4,>=512,>=64,,,>=64,>=32/4,>=64,<=4,>=64,=2,>=32/16,=1/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.44086,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,<=1,=1,=256,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=2,,,,,,,,,
72407.547,EKP,<=0.25,<=4,<=0.12,<=1,1,<=4,>=64,,,>=32,>=32,<=1,<=2,,,,>=32,,>=320,,,<=0.25,,32,,,16,,,,>=64,,,,,,,,,,,,,,,,
573.40397,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=4/2,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.24299,EKP,<=0.25,<=4,<=0.5,=8,,=32/4,,,,=16/8,>=32,>=16,<=2,>=64,,,<=1,,<=1/19,,<=1,<=0.25,,=16,,,,,,,,,,,,,<=0.12,,,,,,,,,,
573.44126,EKP,<=25,=8,<=12,<=1,=2,=8/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,=8,=1,>=512,<=1,,,<=1,=5/4,=8,<=4,=16,=5,=16/8,=5/4,<=4,>=32,=1,=2,,,,,,,,,
1438793.3,EKP,<=0.25,,<=0.5,,,,<=1,,,,>=32,<=1,<=2,,,,,,<=20,,,<=0.25,<=16,,,,,,<=1,,,<=0.25,8,,<=4,,<=0.12,,,,,,,,,,
72407.546,EKP,<=0.25,<=4,<=0.12,<=1,1,<=4,>=64,,,16,>=32,<=1,<=2,,,,>=32,,>=320,,,<=0.25,,32,,,16,,,,>=64,,,,,,,,,,,,,,,,
573.5724,EKP,<=0.25,<=4,<=0.5,4,1,<=4,<=1,,,4,>=32,>=16,<=2,,,,<=1,>=16,,,,0.5,,16,,,16,,,,4,,,,,,,,,>=64,,,,,,,
72407.576,EKP,>=16,>=64,>=8,>=16,<=0.5,>=128,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,2,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.28627,EKP,>=16,,>=8,,,,,,,,,<=1,<=2,,,,,,>=320,,,>=4,,,,,,,,,,>=16,,,,,,,,,,,,,,,
573.24279,EKP,<=0.25,<=4,<=0.5,<=1,,<=4/4,,,,=4/2,>=32,<=1,<=2,>=64,,,=2,,>=16/304,,>=16,=1,,=16,,,,,,,,,,,,,=1,,,,,,,,,,
573.41974,EKP,<=25,<=4,<=12,=8,<=5,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=4,,,,,,,,,
72407.526,EKP,<=0.25,<=4,<=0.12,>=16,2,16,>=64,,,>=32,>=32,>=16,8,,,,>=32,,>=320,,,1,,32,,,16,,,,>=64,,,,,,,,,,,,,,,,
72407.484,EKP,<=0.25,16,0.25,>=16,1,>=128,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41947,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=128,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.44143,EKP,<=25,=16,<=12,=4,>=8,=16/4,=32,>=8,,,>=32,>=16,<=2,>=64,,,=8,,=8/152,,>=16,>=4,=256,<=1,,,=4,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.27323,EKP,>=16,,>=8,,,,,,,,,4,>=64,,,,,,>=320,,,>=4,,,,,,,,,,>=16,,,,,,,,,,,,,,,
573.40387,EKP,<=25,<=4,<=12,<=1,<=5,<=4/4,<=25,<=25,,,>=32,<=1,<=2,<=25,,,<=12,,<=1/19,,<=1,<=25,=64,<=1,,,<=1,<=25/4,<=2,<=4,=2,<=25,=8/4,<=12/4,<=4,=4,<=12,<=25,,,,,,,,,
573.44128,EKP,<=25,<=4,<=12,>=16,=1,=16/4,=16,>=8,,,>=32,>=16,=16,=32,,,=2,,>=16/304,,>=16,=1,=64,>=64,,,>=64,=8/4,>=64,<=4,>=64,=5,>=32/16,=5/4,>=64,=16,=1,=2,,,,,,,,,
573.5711,EKP,<=0.25,<=4,<=0.5,2,1,<=4,2,,,4,>=32,>=16,<=2,,,,<=1,<=0.5,,,,<=0.25,,16,,,16,,,,4,,,,,,,,,>=64,,,,,,,
573.41172,EKP,<=25,<=4,<=12,>=16,=1,=16/4,>=64,>=8,,,>=32,<=1,=4,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=4,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
72407.589,EKP,<=0.25,32,<=0.12,>=16,1,32,>=64,,,>=32,>=32,>=16,>=64,,,,>=32,,>=320,,,<=0.25,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.41986,EKP,<=25,<=4,<=12,=8,>=8,=32/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,<=16,=16,,,>=64,=1/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,>=32,=1,=4,,,,,,,,,
573.41295,EKP,>=16,>=64,>=8,>=16,<=5,>=128/4,>=64,>=8,,,>=32,>=16,>=64,>=64,,,>=32,,>=16/304,,<=1,>=4,=128,>=64,,,>=64,>=32/4,>=64,>=64,>=64,>=16,>=32/16,>=16/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42028,EKP,<=25,<=4,<=12,>=16,=1,=32/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,=2,=128,=16,,,=32,=16/4,>=64,<=4,>=64,<=25,>=32/16,=5/4,>=64,=16,=1,=4,,,,,,,,,
573.14776,EKP,>=16,,>=8,,,,,,,,,<=1,<=2,,,,,,>=320,,,>=4,,,,,,,,,,>=16,,,,,,,,,,,,,,,
573.41154,EKP,<=25,<=4,<=12,=8,<=5,=32/4,>=64,>=8,,,>=32,<=1,<=2,>=64,,,>=32,,>=16/304,,=2,>=4,>=512,=16,,,>=64,=1/4,>=64,<=4,>=64,=5,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
72407.493,EKP,<=0.25,16,0.25,>=16,1,>=128,>=64,,,>=32,>=32,8,>=64,,,,>=32,,>=320,,,>=4,,>=64,,,>=64,,,,>=64,,,,,,,,,,,,,,,,
573.44137,EKP,<=25,<=4,<=12,>=16,<=5,=32/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,<=1,>=4,=128,>=64,,,>=64,>=32/4,>=64,<=4,>=64,<=25,>=32/16,<=12/4,>=64,=16,=1,=2,,,,,,,,,
573.5816,EKP,<=0.25,<=4,<=0.5,>=16,1,16,>=64,,,16,>=32,>=16,<=2,,,,>=64,<=0.5,,,,1,,16,,,>=64,,,,>=64,,,,,,,,,>=64,,,,,,,
573.41087,EKP,>=16,>=64,>=8,>=16,=1,>=128/4,>=64,>=8,,,>=32,=2,=8,>=64,,,>=32,,<=1/19,,=4,>=4,>=512,>=64,,,>=64,>=32/4,>=64,=32,>=64,>=16,>=32/16,=5/4,>=64,>=32,>=8,>=8,,,,,,,,,
573.42911,EKP,<=25,<=4,<=12,=8,<=5,<=4/4,>=64,>=8,,,>=32,>=16,<=2,>=64,,,>=32,,>=16/304,,>=16,<=25,=128,=16,,,=16,<=25/4,>=64,<=4,>=64,<=25,>=32/16,=25/4,>=64,=16,=1,=4,,,,,,,,,
