Sample_ID_IfH,Organism_Code,imipenem,amikacin,tetracycline,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim/sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin/tazobactam,tobramycin,cefoxitin,colistin,cefotaxime,cefalotin,cefuroxime,ampicillin,amoxicillin/clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime/avibactam,chloramphenicol,cefotetan,cefpodoxime,ceftazidime/clavulanic acid,minocycline,cefmetazole,ceftriaxone,cefoperazone/sulbactam,doripenem,cefozopran,ampicillin/sulbactam,piperacillin,imipenem/relebactam,cefepime_taniborbactam,ceftolozane/tazobactam,ceftaroline,cefazolin,polymyxin B,trimethoprim_sulfamethoxazole,piperacillin_tazobactam,extended spectrum beta lactamase,cefotaxime/clavulanic acid,doxycycline,nitrofurantoin,cephalothin,ofloxacin,kanamycin,nalidixic acid,carbenicillin,penicillin,streptomycin,erythromycin,neomycin,spectinomycin,rifampin,cefiderocol,ticarcillin/clavulanic acid,trimethoprim_sulfonamide,amoxicillin,aminogycosides,fluoroquinolones,beta-lactam,trimotheprim,cefoperazone,florfenicol,sulfamethoxazole,ceftriaxone/cefpodoxime
72407.2354,EKP,,,,>8,,<=0.5,,,,>16,,<=4,,,<=1,>128,,4,,,2,1,16,,>16,<=1,>64,,>8,2,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
574.98,EKP,,,,,>16,,,<=1/19,,>16,,<=4,<=1,,>8,>128,,<=2,,,16,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,<=8/4,<=0.5,>16,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66381,EKP,,16,,<=1,>=32,,,,>=8,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66446,EKP,,16,,,,,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.237,EKP,<=0.5,>32,,>8,,>8,>8,>4/76,,>16,,>64/4,,,>4,>32,,<=2,,,>16,1,>16,,<=8,<=1,>64,<=0.12,2,<=0.5,>64,16/8,>2,>16,>32/16,>64,,,,,,>4,,,,<=0.12,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.264,EKP,<=0.5,16,,,>16,,<=0.5,>4/76,,>16,2,>64,4,,<=1,32,,8,,,>16,0.5,16,,<=8,<=1,>64,<=0.12,4,4,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,>4,,,,<=0.12,<2,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.66078,EKP,,,,<=1,>16,>8,<=0.5,<=1/19,,,<=0.25,32,,,<=1,128,,>32,,,>16,1,>16,,<=8,>32,>64,>32,2,>32,>64,>32/16,>8,>16,>32/16,64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
573.46835,EKP,,,,>8,,=64,,,,<=0.25,,>128/4,,,<=0.5,,,,,>64/2,>64,=1,16,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,1,,,,,,,,,,,
573.4217,EKP,,,,,,,,,,,4,,,32,,0.25,,32,,16,0.25,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.4185,EKP,0.059999999,,,,,,,,,,256,,,,,512,,256,,16,64,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
1284814.3,EKP,<=1,32,,<=1,>16,<=1,>8,>4/76,1,>16,>2,>64/4,>8,,>4,>32,,,,,>16,0.5,,,,,,,8,,,,0.25,,,,,,,,,>4,,,,,8,,,,,,,,,,,,,,128/2,,,,,,,,,,
72407.2215,EKP,<=0.5,,,<=1,,,<=0.5,,,,,,,,<=1,>128,,<=2,,,2,1,16,,<=8,<=1,>64,,4,1,>64,<=8/4,<=0.5,>16,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2289,EKP,<=0.5,<=4,,,,,<=0.5,,,,,<=4,,,<=1,>128,,<=2,,,>16,2,16,,<=8,<=1,>64,,8,<=0.5,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2494,EKP,<=0.5,8,,>8,>16,,,,,,,,>8,,8,>128,,4,,,>16,1,<=4,,<=8,<=1,>64,1,2,4,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24407,EKP,>16,<1,>32,,>32,>8,,,>8,,,,,>=32,=4,>64,,,>32,>32/16,>128,<0.5,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=4,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.66401,EKP,,,,,,>=16,,,,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24422,EKP,>8,,,,,>8,,<1/19,,,,,,,=0.5,>64,,,>32,>32/16,>128,<1,,,,,,=64/4,,,>32,,>=4,,,,,,,,>8,=0.5,,,,=16/4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2502,EKP,,<=4,,,,<=0.5,,>2/38,,>16,,8,>8,,<=1,128,,8,,,>16,2,<=4,,16,<=1,>64,,>8,4,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66456,EKP,,,,,>=32,>=16,,,,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2605,EKP,,,,,<=1,<=0.5,<=0.5,,,2,,,,,<=1,16,,<=2,,,<=1,1,<=4,,<=8,<=1,64,<=0.12,8,<=0.5,32,<=8/4,<=0.5,8,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.65928,EKP,<=0.5,,,,8,,,,,,<=0.25,8,,,<=1,>128,,32,,,2,4,16,,>16,<=1,>64,1,>8,8,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66384,EKP,,,,,>=32,,,,,>=64,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66295,EKP,,8,,,>=64,,,,>=8,,,,,>=64,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.15043,EKP,=8,=32,>32,,>32,,>8,>8/152,,,>8,,=16,,=0.5,>64,,,>32,>32/16,>128,=2,,,,,,,,,>32,,>8,,>32/16,,,,,,>8,=0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29979,EKP,>8,16,,,,128,,,>1,,>2,,,,>8,,,,,,,1,,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
