Sample_ID_IfH,Organism_Code,imipenem,amikacin,tetracycline,gentamicin,cefepime,meropenem,levofloxacin,trimethoprim/sulfamethoxazole,ertapenem,aztreonam,ciprofloxacin,piperacillin/tazobactam,tobramycin,cefoxitin,colistin,cefotaxime,cefalotin,cefuroxime,ampicillin,amoxicillin/clavulanic acid,ceftazidime,tigecycline,fosfomycin,ceftazidime/avibactam,chloramphenicol,cefotetan,cefpodoxime,ceftazidime/clavulanic acid,minocycline,cefmetazole,ceftriaxone,cefoperazone/sulbactam,doripenem,cefozopran,ampicillin/sulbactam,piperacillin,imipenem/relebactam,cefepime_taniborbactam,ceftolozane/tazobactam,ceftaroline,cefazolin,polymyxin B,trimethoprim_sulfamethoxazole,piperacillin_tazobactam,extended spectrum beta lactamase,cefotaxime/clavulanic acid,doxycycline,nitrofurantoin,cephalothin,ofloxacin,kanamycin,nalidixic acid,carbenicillin,penicillin,streptomycin,erythromycin,neomycin,spectinomycin,rifampin,cefiderocol,ticarcillin/clavulanic acid,trimethoprim_sulfonamide,amoxicillin,aminogycosides,fluoroquinolones,beta-lactam,trimotheprim,cefoperazone,florfenicol,sulfamethoxazole,ceftriaxone/cefpodoxime
1284803.4,EKP,4,16,,>8,4,4,>8,>4/76,4,>16,>2,>64/4,>8,,<=0.25,16,,,,,>16,0.5,,,,,,,4,,,,2,,,,,,,,,0.5,,,,,4,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2769,EKP,,,,>8,>16,,>8,,,,>4,>64,,,<=1,>128,,>32,,,16,4,16,,>16,4,>64,1,>8,>32,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2709,EKP,<=0.5,,,>8,>16,,<=0.5,>2/38,,>16,,,,,<=1,>128,,<=2,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66383,EKP,,<=2,,,>=32,,,,,<=1,>=4,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2419,EKP,<=0.5,,,,>16,<=0.5,,,,>16,1,<=4,<=1,,<=1,>128,,8,,,>16,1,<=4,,<=8,<=1,>64,,>8,2,>64,32/16,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.29912,EKP,,8,,,,,,>4/76,>1,,>2,,,,<=1,,,,,,,1,16,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66357,EKP,,,,,,>=16,,,,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.7072,EKP,0.059999999,,256,128,,,,,,,512,128,,32,,128,,256,,16,64,4,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.4164,EKP,0.25,,4,0.5,,,,,,,512,128,,32,,512,,256,,16,256,0.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.4118,EKP,0.12,,256,0.5,,,,,,,0.5,,,16,,0.12,,16,,16,2,4,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.46332,EKP,8,,,,,>32,32,,,,32,,,256,,128,,,,,>256,2,>256,,,,,,4,,256,,,,,>256,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
573.65943,EKP,,,,,<=1,<=0.5,,>2/38,,,,<=4,>8,,<=1,64,,>32,,,>16,1,16,,>16,16,>64,>32,>8,32,64,<=8/4,<=0.5,4,>32/16,>64,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2779,EKP,,,,,,<=0.5,<=0.5,>2/38,,2,2,<=4,,,<=1,128,,4,,,<=1,1,16,,>16,<=1,>64,<=0.12,>8,<=0.5,>64,16/8,<=0.5,16,32/16,8,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.272,EKP,<=1,,,4,<=2,,<=1,,<=0.25,,,<=8/4,,,1,32,,,,,>16,0.5,,,,,,,4,,,,<=0.12,,,,,,,,,2,,,,,4,,,,,,,,,,,,,,128/2,,,,,,,,,,
573.66462,EKP,,<=2,,<=1,2,,,,<=0.12,,0.5,,,<=4,,32,,>=64,>=32,16,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2407,EKP,,,,<=1,2,,,>2/38,,<=1,1,<=4,<=1,,<=1,64,,<=2,,,<=1,1,16,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,<=8/4,<=0.5,16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66228,EKP,,,,,>=32,,,,>=8,,>=4,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.5645,EKP,>=16,>64,>64,>64,>=16,,,,,>64,>16,,>64,64,16,>32,,,>64,,>64,,,,>=32,,,,>=8,,,,,,>64/,,,,,>32,>64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.30002,EKP,>8,<=4,,,,16,,,,,>2,,,,<=1,,,,,,,0.5,<=4,<=1/4,<=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24243,EKP,=64,,,>16,>32,>8,>8,,>8,>64,,>128/4,,>16,=1,>64,,,>32,>32/16,>128,=2,,,>16,,,>64/4,=8,,>32,,>8,,>32/16,,,,,,>8,=0.5,,,,>32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.65904,EKP,,,,,>16,,,,,,4,,,,<=1,>128,,4,,,16,1,16,,<=8,<=1,>64,<=0.12,4,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2563,EKP,2,,,,,1,<=0.5,,,,1,,8,,2,16,,>32,,,>16,1,16,,<=8,32,>64,>32,<=1,>32,32,>32/16,1,8,>32/16,>64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.66226,EKP,,,,,,,,,,,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24432,EKP,>8,,<=4,>16,,,,>8/152,>8,,>8,,,>=32,=1,>64,,,>32,>32/16,>128,<1,,,,,,=64/4,,,>32,,>=4,,,,,,,,>8,=1,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.65934,EKP,<=0.5,<=4,,,,<=0.5,,>2/38,,,,,>8,,<=1,>128,,4,,,>16,1,16,,>16,2,>64,1,>8,1,>64,16/8,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66372,EKP,,<=2,,,>=32,>=16,,,,<=1,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.65925,EKP,<=0.5,,,,>16,<=0.5,,,,>16,<=0.25,<=4,,,<=1,>128,,<=2,,,>16,<=0.25,>16,,<=8,<=1,>64,<=0.12,<=1,1,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66423,EKP,,,,<=1,,>=16,,,,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2363,EKP,,>32,,>8,>16,,>8,>2/38,,,,,,,<=1,>128,,>32,,,>16,1,>16,,>16,>32,>64,>32,4,>32,>64,>32/16,>8,>16,>32/16,>64,,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,
573.66451,EKP,,16,,,,>=16,,,,16,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2432,EKP,<=0.5,8,,,,<=0.5,,>2/38,,>16,,,>8,,<=1,>128,,4,,,>16,1,16,,<=8,2,>64,<=0.12,2,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2193,EKP,,<=4,,>8,16,,,,,,,,,,<=1,>128,,8,,,2,2,<=4,,>16,<=1,>64,,>8,4,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.65963,EKP,<=0.5,,,>8,>16,,,,,>16,,,8,,<=1,>128,,4,,,16,1,>16,,<=8,<=1,>64,1,4,2,>64,>32/16,<=0.5,>16,>32/16,16,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
1328421.3,EKP,,>32,8,>8,16,>8,,>8,,,>2,,>8,,>4,,,,,,>32,2,,,,,,,,,>32,,,,>16,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29873,EKP,,,,<=1,,128,,,>1,,>2,,,,<=1,,,,,,,0.5,16,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.65956,EKP,,,,>8,,,,,,<=1,1,<=4,4,,<=1,4,,>32,,,4,2,<=4,,<=8,32,32,32,4,>32,1,<=8/4,<=0.5,<=1,>32/16,>64,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.29993,EKP,8,16,,,,,,,>1,,,,,,<=1,,,,,,,0.5,>128,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.7223,EKP,,<=4,,<=1,>16,>8,,>2/38,>4,>16,2,>64/4,<=1,>16,0.19,,,,,,>16,<=1,,,,,,,,,>32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2674,EKP,<=0.5,<=4,,,>16,<=0.5,,,,>16,,,,,<=1,>128,,<=2,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66277,EKP,,<=2,,<=1,,>=16,,,>=8,,>=4,,,,,>=64,>=64,>=64,>=32,>=32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.261,EKP,1,32,,>8,>16,<=0.5,,,,>16,,>64/4,<=1,,<=1,>32,,<=2,,,16,2,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,32/16,>2,>16,>32/16,>64,,,,,,>4,,,,<=0.12,>16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
72407.2275,EKP,,,,<=1,,<=0.5,,,,>16,2,<=4,,,<=1,>128,,4,,,2,1,16,,>16,<=1,>64,,4,2,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2315,EKP,4,,,<=1,,,,,,,<=0.25,<=4,,,<=1,64,,>32,,,>16,1,>16,,<=8,>32,>64,>32,4,>32,64,>32/16,4,8,32/16,32,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
573.24444,EKP,>16,,,>16,,,,,>8,>64,,,>16,,=0.25,>64,,,>32,>32/16,>128,=4,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=0.25,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
1284804.4,EKP,>8,16,,2,>16,>8,>8,>4/76,>4,>16,>2,>64/4,>8,,<=0.25,>32,,,,,>16,1,,,,,,,8,,,,>2,,,,,,,,,0.5,,,,,8,,,,,,,,,,,,,,>128/2,,,,,,,,,,
1284793.4,EKP,>8,16,,>8,>16,>8,>8,>4/76,>4,>16,>2,>64/4,>8,,<=0.25,>32,,,,,>16,1,,,,,,,16,,,,>2,,,,,,,,,0.5,,,,,16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.66281,EKP,,<=2,,<=1,,1,,,,,>=4,,,<=4,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66343,EKP,,<=2,,<=1,>=64,>=16,,,,>=64,,,,,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24342,EKP,,,<2,=8,,>=4,,<0.25/4.75,>4,,<=1,,,,=0.5,>=4,,,>32,>=32/16,>32,<1,,,,,,=4/4,,,>32,,=2,,,,,,,,>8,=0.5,,,,=0.5/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.46348,EKP,16,>256,,,128,,,,,,32,,,,,128,,,,,64,1,>256,,,,,,32,,256,,,,,>256,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,>256,,,
573.66247,EKP,,16,,8,,,,,>=8,,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66444,EKP,,<=2,,<=1,,,,,,>=64,>=4,,,,,>=64,,>=64,>=32,>=32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2185,EKP,,<=4,,,4,,,,,4,>4,<=4,,,<=1,64,,8,,,<=1,1,<=4,,<=8,<=1,>64,,4,2,64,<=8/4,<=0.5,16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.9722,EKP,=64,,,,>32,,,>8/152,,,>8,,,,=1,>64,,,>32,>32/16,>128,=2,,,,,,,,,>32,,>8,,>32/16,,,,,,>8,=0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2179,EKP,<=0.5,<=4,,,<=1,<=0.5,<=0.5,,,,<=0.25,,<=1,,<=1,<=0.5,,4,,,<=1,1,>16,,<=8,<=1,<=0.5,,2,2,<=0.5,<=8/4,<=0.5,<=1,8/4,32,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.7086,EKP,0.12,,2,128,,,,,,,128,32,,8,,256,,256,,16,64,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.66008,EKP,,,,,,,,,,,,<=4,,,<=1,>128,,8,,,>16,2,<=4,,>16,<=1,>64,,>8,2,>64,<=8/4,<=0.5,>16,16/8,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2414,EKP,<=0.5,<=4,,,,<=0.5,,,,2,,<=4,,,<=1,16,,>32,,,>16,1,<=4,,<=8,32,>64,>32,<=1,32,2,<=8/4,<=0.5,<=1,>32/16,>64,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
573.66388,EKP,,,,,,>=16,,,,>=64,>=4,,,,,>=64,,>=64,>=32,>=32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2491,EKP,1,<=4,,>8,>16,,,,,,,>64,,,<=1,>128,,>32,,,>16,2,>16,,<=8,32,>64,1,8,>32,>64,>32/16,4,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.7067,EKP,0.12,,2,0.5,,,,,,,64,8,,4,,0.12,,128,,16,0.25,1,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,
573.66484,EKP,,<=2,,<=1,>=32,>=16,,,>=8,,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.46837,EKP,,=4,,,,,,,2,,,>128/4,,,<=0.5,,,,,>64/2,>64,<=0.25,4,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,1,,,,,,,,,,,
573.29992,EKP,8,>32,,,,32,,,>1,,,,,,4,,,,,,,0.5,<=4,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.46854,EKP,,>32,,>8,>16,=64,,>8/152,,1,>1,,,,<=0.5,,,,,>64/2,>64,=0.5,16,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,2,,,,,,,,,,,
72407.2666,EKP,,,,<=1,>16,<=0.5,,<=1/19,,>16,1,,,,<=1,>128,,4,,,>16,1,<=4,,>16,<=1,>64,,4,2,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.7029,EKP,=16,=32,=16,=2,>32,>8,>8,>8/152,>8,>64,>8,>128/4,>16,>16,,>128,,,>32,>32/16,>128,=2,,,,,,,,,>32,,=8,,>32/16,,,,,,>8,=4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24353,EKP,>8,<1,>32,<0.25,,,<1,,,>64,,>128/4,<0.5,<=8,=0.5,>64,,,>32,>32/16,>64,<0.5,,,,,,=16/4,,,>32,,>8,,,,,,,,>8,=0.5,,,,=2/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.4139,EKP,0.25,,,,,,,,,,0.12,,,16,,0.12,,16,,4,0.25,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,,,,,,,,
573.66313,EKP,,32,,4,>=32,,,,>=8,,>=4,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2462,EKP,,,,<=1,,,,,,>16,,,<=1,,<=1,>128,,8,,,>16,1,>16,,<=8,<=1,>64,,2,2,>64,16/8,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.4144,EKP,1,,,,,,,,,,0.25,64,,16,,0.12,,16,,32,0.5,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.4071,EKP,0.12,,2,64,,,,,,,0.059999999,8,,16,,16,,64,,16,512,0.5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.29976,EKP,,8,,<=1,,,,>4/76,>1,,>2,,,,>8,,,,,,,>4,,2/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.29919,EKP,>8,,,,,128,,>4/76,,,>2,,,,>8,,,,,,,1,,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66058,EKP,,,,,<=1,<=0.5,<=0.5,,,,<=0.25,<=4,,,<=1,<=0.5,,<=2,,,<=1,1,<=4,,<=8,<=1,<=0.5,<=0.12,<=1,1,<=0.5,<=8/4,<=0.5,<=1,<=4/2,8,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.31617,EKP,>16,>64,,<=1,,,,,>=8,,,,,>=64,>16,>=64,,,>=32,16,>=64,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>320,,,,,,,,,
573.66336,EKP,,,,,>=64,>=16,,,,,>=4,,,>=64,,>=64,>=64,>=64,>=32,>=32,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2681,EKP,,,,,,<=0.5,,,,>16,,<=4,,,<=1,>128,,4,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.24335,EKP,>16,,,>=16,>32,>8,>8,>8/152,>8,>64,>8,,,>=32,=0.5,>64,,,>32,>32/16,>64,<1,,,,,,=32/4,,,>32,,>8,,,,,,,,>8,=1,,,,=16/4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.254,EKP,,32,,8,>16,>8,<=0.5,>4/76,>4,,,,<=1,,2,>32,,4,,,<=1,2,>16,,<=8,<=1,>64,<=0.12,16,1,>64,16/8,<=0.5,>16,32/16,>64,,,,,,1,,,,<=0.12,16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.66057,EKP,,<=4,,<=1,,,<=0.5,<=1/19,,,<=0.25,<=4,<=1,,<=1,>128,,<=2,,,2,1,>16,,<=8,<=1,>64,<=0.12,<=1,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.29903,EKP,>8,,,,,>128,,>4/76,>1,,,,,,4,,,,,,,1,16,4/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2476,EKP,,8,,,,,,>2/38,,,,32,,,<=1,>128,,>32,,,>16,>4,>16,,>16,8,>64,1,>8,>32,>64,>32/16,1,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2423,EKP,,<=4,,<=1,2,,,,,<=1,1,,,,<=1,1,,>32,,,<=1,1,16,,>16,8,2,,8,>32,<=0.5,16/8,<=0.5,2,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.66333,EKP,,,,,,,,,>=8,,>=4,,,>=64,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.24383,EKP,,,,>16,,<0.12,,>8/152,<0.25,>64,>8,,,,=1,>64,,,>32,=16/8,>128,=4,,,,,,=2/4,,,>32,,<0.25,,,,,,,,>8,=1,,,,=0.5/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.7071,EKP,0.5,,8,0.5,,,,,,,0.12,32,,64,,0.25,,32,,8,0.5,2,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,,,,,,,,
573.30004,EKP,>8,,,,,32,,>4/76,>1,,,,,,<=1,,,,,,,1,8,<=1/4,>16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574.12,EKP,,,,,,<=0.5,,,,<=1,,,,,<=1,8,,>32,,,>16,1,16,,<=8,32,>64,>32,2,>32,16,32/16,1,8,>32/16,64,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
573.24454,EKP,,,<=4,,,>8,,,>8,,>8,,,>=32,=0.5,>64,,,>32,>32/16,>128,<1,,,,,,=64/4,,,>32,,>8,,,,,,,,>8,=0.5,,,,=32/4,,,,,,,,,,,,,,,,,,,,,,,,,
573.66331,EKP,,,,,>=64,,,,>=8,>=64,>=4,,,,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.22561,EKP,0.125,,64,,,,,8,,,8,256,,,0.125,,,,,,1,2,>256,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,
573.66354,EKP,,32,,4,,,,,,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.267,EKP,8,<=4,,,>16,>8,>8,>4/76,>4,,<=0.25,8,,,<=1,>32,,8,,,>16,<=0.25,>16,,<=8,<=1,>64,<=0.12,>16,1,>64,32/16,<=0.5,>16,>32/16,>64,,,,,,1,,,,1,16,,,,,,,,,,,,,,>128/2,,,,,,,,,,
573.12772,EKP,>64,,,>16,,,>8,,>8,,,,,>32,,>64,,,>64,>32/16,>128,,,,,,,,,,>64,,>8,,,,,,,,>32,=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574.114,EKP,,,,,,4,<=0.5,,,4,,>64,<=1,,<=1,2,,>32,,,16,1,>16,,>16,8,8,16,>8,>32,2,>32/16,2,>16,>32/16,>64,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
573.66459,EKP,,<=2,,,,,,,,,,,,>=64,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66463,EKP,,,,,,,,,,>=64,,,,,,>=64,,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2213,EKP,,,,,>16,,>8,,,,,>64,>8,,<=1,128,,>32,,,>16,1,16,,>16,16,>64,32,>8,>32,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2428,EKP,<=0.5,,,8,8,,<=0.5,,,>16,,<=4,,,<=1,64,,<=2,,,>16,<=0.25,<=4,,16,<=1,64,<=0.12,<=1,<=0.5,32,<=8/4,<=0.5,8,8/4,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2871,EKP,,,,,<=1,,<=0.5,>2/38,,,1,,,,<=1,64,,>32,,,16,<=0.25,<=4,,>16,32,32,>32,>8,>32,2,16/8,<=0.5,4,>32/16,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
573.29939,EKP,8,,,,,64,,<=1/19,>1,,,,,,<=1,,,,,,,0.5,<=4,4/4,<=8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.65987,EKP,<=0.5,,,,>16,,,,,,4,,>8,,<=1,>128,,<=2,,,>16,1,<=4,,<=8,<=1,>64,<=0.12,4,<=0.5,>64,16/8,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.66347,EKP,,,,>=16,>=64,,,,,>=64,,,,,,>=64,>=64,>=64,>=32,>=32,>=64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2639,EKP,,8,,<=1,,,,2/38,,,,,>8,,<=1,>128,,4,,,>16,<=0.25,>16,,>16,<=1,>64,1,<=1,2,>64,<=8/4,<=0.5,>16,32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
573.46851,EKP,,>32,,,,,,>8/152,,,>1,>128/4,,,=1,,,,,>64/2,>64,=0.5,>128,>32,,,,,,,>4,,,,,,,,>64/4,,,,,,,,,>64,,,,,,,,,,,,1,,,,,,,,,,,
573.1542,EKP,=16,=16,=4,>16,=32,,>8,,>8,>64,>8,>128/4,,>32,,>64,,,>64,>32/16,>128,,,,,,,,,,>64,,>8,,,,,,,,>32,=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573.66556,EKP,,,,<=1,>=32,>=16,,,>=8,>=64,,,,>=64,,>=64,,>=64,>=32,>=32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72407.2226,EKP,,,,<=1,,,,>2/38,,>16,,,,,<=1,>128,,<=2,,,4,1,16,,<=8,<=1,>64,,4,2,>64,>32/16,<=0.5,>16,>32/16,>64,,,,,,,,,,<=0.12,,,,,,,,,,,,,,,,,,,,,,,,,
