,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Ceftolozane-tazobactam_AB,0.08996089018139965,0.08582168357606731,0.006410085054846674,0.0072631467019862485,0.05864811663577005,0.00295455109840156,0.0,0.008132848959988342,0.005776446880660126,0.012788409953482493,0.007621295206180011,0.01394282216613113,0.0,0.009944103424908668,0.005337206084071155,0.008846393212358875,0.5363246828427455,0.014369224198632326,0.01196224335139948,0.01354240170910798,0.08705002658016273,0.0018529881623387293,0.011450434019361107,0.0
Ceftriaxone_AB,0.0007036963898572262,0.005970786989792464,0.14705538893704345,0.00013090301754618757,0.011554916040403589,0.0186178426881949,0.00765358481941796,0.009782156519152974,0.0007414835566840239,0.0001951629874353887,0.03387894144926794,0.007764177399794785,0.0035401964328773197,0.0020091580813597475,0.2389040005389147,0.0025575255515912325,0.07736968102020689,0.011278835270268885,0.004344883308983534,0.004488595123047804,0.007325039912198683,0.38908787673162315,0.01504516723433703,0.0
Cefuroxime_AB,0.006339128523469123,0.004128553974424394,0.015136509717266872,0.007339902268620229,0.0069267364764909415,0.01689075312560498,0.007399952234539655,0.0064186919055231745,0.0038198976597999877,0.00939597899953703,0.003297276149626241,0.005659559612188518,0.0017827992750766273,0.004954165220933671,0.0864512399141022,0.06490456651886596,0.008253893118639492,0.5397063229846384,0.003346748851208169,0.015878634554205927,0.005112567789261169,0.17439422119701797,0.0024618999289594302,0.0
Ciprofloxacin_AB,0.013340706478419121,0.05355964108156981,0.009681647731180357,0.009634391046675246,0.030589646008877498,0.01176836667975227,0.009762732411885976,0.042575948739651225,0.034367145475333274,0.027939253352999294,0.02696473429288676,0.011746037935329738,0.011502872280012738,0.22215123597450873,0.013683267061710339,0.022466430661627665,0.19394123704008948,0.007151265704531961,0.02451716242477175,0.013612342778674598,0.17926527400214232,0.019297329399482113,0.010481331437887702,0.0
Ertapenem_AB,0.030665117811863027,0.0928088278301788,0.004565161106119507,0.0036113605604768013,0.009806788395153148,0.014041138145318224,0.020931208284571633,0.05432005007219608,0.01536264016597472,0.02342625789857919,0.009862182928096253,0.005435205480985547,0.0017166860665100672,0.005840920119179877,0.008929454730474412,0.005287436658441763,0.23116552267491516,0.0062984440919410835,0.18734741326921522,0.019298512004677713,0.2193586344058389,0.022862141235989217,0.007058896063303725,0.0
Gentamicin_AB,0.016083121406651666,0.027487204754159056,0.11924698483466048,0.008504352730751803,0.007516589916414249,0.006694828684418211,0.00464273394515344,0.013806570965276693,0.6044321846669265,0.0208707501305752,0.004884068946558279,0.006349552736199015,0.006796004149468286,0.01194447701832627,0.025666987279513373,0.01082498593507376,0.005458611443784229,0.007528008418830572,0.012596358112521615,0.006486227451347608,0.01148244762368058,0.054590784244085686,0.006106164605623396,0.0
Imipenem_AB,0.058493909748068465,0.029648423695381784,0.03691254509209924,0.014339446598531067,0.05895153106302618,0.01018103100688026,0.0005865170150007107,0.07126980484415599,0.005201606567815309,0.018108896906492155,0.00746845410659438,0.056051067066982,0.0004883417204500494,0.008494622385075687,0.016491058729378283,0.03278060212728925,0.02639015715086978,0.012489994122487589,0.4005705362137019,0.009386235754173525,0.08647004870631145,0.01949727060957534,0.019727898769659514,0.0
Levofloxacin_AB,0.026527585765831162,0.05452818496677367,0.010085990528552606,0.024911892932310976,0.016295931621532783,0.006344606927896377,0.00740927971706743,0.00475526100749254,0.02146008244498071,0.04240026696377399,0.009250084542479962,0.019258889897466193,0.0,0.012224601760769286,0.011445180390153308,0.01814580241726084,0.015520374193691875,0.04639849200674494,0.024837335260484553,0.018759442703297845,0.011339562351716955,0.024230189546038904,0.573870962053683,0.0
Meropenem_AB,0.3400601715802577,0.046464651665244536,0.008022883604883306,0.006325243361712086,0.010434591862035733,0.00685577290467029,0.03565022998708921,0.04908275854870163,0.01142866259772269,0.028700955915389126,0.00475307990881284,0.009796038832966251,0.0021649895843435856,0.00354650613348662,0.007178752764732952,0.006079571250027286,0.0931506580910291,0.006869337281724949,0.15789132108447662,0.007442326996488533,0.13233623870347644,0.014236859798473134,0.011528397542255445,0.0
Piperacillin-tazobactam_AB,0.011748110181869869,0.012077296716342428,0.10276079001568492,0.012109839043041193,0.6015137640015065,0.009123189695707402,0.0243232302148328,0.009474519042513774,0.010324542041498241,0.0086021809914472,0.004318427223297145,0.009525955754177647,0.003988886116399424,0.03523249423333283,0.023032587671342072,0.02340347167857639,0.009170923955513319,0.010125166490934149,0.004398053606574648,0.05631625201358198,0.004379721794682335,0.005709303110963838,0.00834129440617988,0.0
