Sample_ID_IfH,Organism_Code,tobramycin,nitrofurantoin,cefuroxime,ciprofloxacin,cefazolin,ceftazidime,ampicillin-sulbactam,ceftriaxone,levofloxacin,aztreonam,piperacillin-tazobactam,gentamicin,Imipenem,meropenem,amikacin,cefepime,trimethoprim-sulfamethoxazole,ampicillin,amoxicillin-clavulanic acid,ertapenem,cefotaxime,tigecycline,fosfomycin,norfloxacin,ticarcillin-clavulanic acid,trimethoprim,colistin
573.1346,EKP,R,NA,S,R,R,R,R,R,R,R,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13967,EKP,S,NA,R,R,S,S,R,S,S,S,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13924,EKP,S,NA,R,S,R,S,R,R,S,R,S,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12862,EKP,R,NA,NA,R,R,R,R,R,R,R,S,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14044,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1454,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14334,EKP,R,NA,R,S,R,R,R,R,S,R,R,R,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13831,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14107,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13444,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14503,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13084,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1337,EKP,S,NA,R,R,R,R,R,R,S,R,S,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13758,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13858,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13655,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14173,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13656,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14303,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14426,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13516,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14343,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12922,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13713,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13378,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14286,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13147,EKP,R,NA,R,R,R,R,R,R,R,S,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14373,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1416,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1439,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13462,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14219,EKP,R,NA,R,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1296,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14199,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13578,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14119,EKP,R,NA,R,R,R,R,R,R,R,S,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13778,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13181,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13576,EKP,S,NA,R,S,R,R,R,S,S,S,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14257,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1304,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12872,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14463,EKP,S,NA,R,S,R,R,R,R,S,S,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13215,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13785,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13125,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12997,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13143,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13417,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13854,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1356,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14001,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13664,EKP,S,NA,R,S,R,R,R,S,S,S,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13772,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13896,EKP,R,NA,R,R,R,R,R,R,R,NA,R,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13467,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,NA,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14284,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14109,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13327,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,NA,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13436,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13612,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13602,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14396,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12873,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12858,EKP,R,NA,NA,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13705,EKP,S,NA,R,R,R,R,R,R,S,S,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1369,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14213,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13178,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13454,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13051,EKP,R,NA,R,R,R,R,R,R,R,R,S,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13972,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13386,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1447,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1288,EKP,R,NA,NA,R,R,R,R,R,R,R,R,R,R,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13446,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14309,EKP,S,NA,R,S,R,S,R,R,S,S,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13658,EKP,S,NA,R,R,R,R,R,R,R,S,R,R,R,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13131,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13108,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13207,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14272,EKP,R,NA,R,R,S,S,R,S,R,S,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13872,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13606,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,NA,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13268,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13774,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12886,EKP,S,NA,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14351,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13703,EKP,R,NA,R,R,R,R,R,R,S,R,S,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12949,EKP,R,NA,NA,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13573,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13177,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14204,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1398,EKP,S,NA,S,S,R,S,R,S,S,S,R,S,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14197,EKP,S,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12899,EKP,R,NA,NA,R,R,R,R,R,S,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12932,EKP,R,NA,NA,R,R,R,R,R,R,R,R,R,S,S,S,NA,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14104,EKP,S,NA,R,R,R,R,R,R,S,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14278,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14282,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.1312,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14078,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14102,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13019,EKP,S,NA,NA,R,R,R,R,R,R,R,R,S,R,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13768,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13086,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13697,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13056,EKP,S,NA,R,R,R,S,R,R,R,S,R,R,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13728,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13796,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13848,EKP,R,NA,R,R,R,R,R,R,S,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14223,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.14494,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13085,EKP,R,NA,R,R,R,R,R,R,R,R,S,R,S,S,R,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13473,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13296,EKP,R,NA,R,R,R,R,S,S,R,R,S,R,S,S,S,S,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.12918,EKP,R,NA,NA,R,R,R,R,R,R,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13186,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,NA,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13475,EKP,R,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13946,EKP,R,NA,R,R,R,R,R,R,R,R,S,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13723,EKP,S,NA,R,R,R,R,R,R,R,R,S,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13927,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13371,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13734,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13775,EKP,S,NA,R,R,R,R,R,R,R,R,R,S,S,S,S,R,S,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13816,EKP,R,NA,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
573.13815,EKP,R,NA,R,R,R,R,R,R,S,R,R,S,S,S,S,R,R,R,NA,NA,NA,NA,NA,NA,NA,NA,NA
