,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Ciprofloxacin_AB,0.016722108594747744,0.026004048580538466,0.015706334605389262,0.01640930299297528,0.026749908529122887,0.005909079347460979,0.03865453367096998,0.015040206829013754,0.020063283846542025,0.017967915097282086,0.025864975041088804,0.011602441392460815,0.002959029585997753,0.02286173955108199,0.34528706261164926,0.02406026122772819,0.014721589742712048,0.06263833667874716,0.012824605464862016,0.024575566216968277,0.07635397184027984,0.06786401775151499,0.07232053404599126,0.03683914675487529,0.0
Ertapenem_AB,0.013061790018126355,0.026289690606724307,0.006193349976682042,0.006404229526437843,0.0123343247140104,0.01709513244605463,0.06615089976909813,0.036554473851066534,0.007023081137837679,0.014078500256490515,0.019818728549802378,0.007892106284676015,0.0002655683564282684,0.010715210373657328,0.016124454460647666,0.016089753238770984,0.008820436249170699,0.13268672759720074,0.010243766069413454,0.36468721741866994,0.019175338952714588,0.12501886015139702,0.043152629975485454,0.020123730019437094,0.0
Gentamicin_AB,0.015133441878134476,0.01332682412622501,0.10337752324884122,0.0077609786795143345,0.021314248256358765,0.004517322452824239,0.001969114950421404,0.010805325566696774,0.5894843449625291,0.02321671567015947,0.01335530637341458,0.016326749587385468,0.0014788196192045034,0.01795174431732377,0.018664936989978353,0.02085673704875771,0.01582149072110577,0.004176230351864978,0.012136980732170729,0.021593178560583022,0.011112176272519644,0.0055614623659150115,0.03585054644403038,0.014207800824041317,0.0
Imipenem_AB,0.02185550257925933,0.12010955906688016,0.012024784108120096,0.020246699022156717,0.04119717076273502,0.011065267912850136,0.0003345197976989706,0.017505153860270975,0.012247783096405987,0.021518247520042943,0.008400436666786124,0.021745826214642605,0.00022170808724714965,0.011131024723159463,0.012555190636797234,0.03211561502644651,0.01221179847785153,0.06061707074271445,0.010503200047314483,0.41404680503358626,0.011135129525518362,0.059584728937553455,0.01713139272938883,0.0504953854245732,0.0
Levofloxacin_AB,0.07708392400434799,0.04497484976200895,0.017210283837553565,0.014804635289913867,0.029494639127029446,0.01870425560305501,0.0020314682597583427,0.012261518589536802,0.017100853291974367,0.030908440137605953,0.03042692180466093,0.03708303759440214,0.0,0.011185343431246953,0.042281238157585346,0.039576077272741546,0.02108494527665497,0.02497582401153734,0.0158621017110624,0.022596948223675077,0.02777419032912498,0.025698631847794404,0.01738287529109959,0.41949699714563016,0.0
Meropenem_AB,0.04190618978500324,0.3675603357369229,0.010129043453237722,0.025952420708515705,0.018684736855635993,0.01523521724957811,0.028742899476539283,0.04128066322379653,0.004762420424018046,0.02069802243329841,0.007267931793960809,0.007464205686531388,0.0006878323981695427,0.007620272361424792,0.004625831285118032,0.012984266232552742,0.01358809588852879,0.14046490891131633,0.006615458272156885,0.048391920821353046,0.005182918392105395,0.14756273894954974,0.0139109506612888,0.008680718999397742,0.0
Piperacillin-tazobactam_AB,0.02305288450124938,0.019636562408934133,0.05429435042178029,0.014707291855944962,0.3940945383841048,0.015304671953167197,0.004621344367383627,0.01479928534002724,0.02677527598557115,0.0189682639177311,0.02789678018823697,0.03152842242060329,0.002052263394184705,0.016529956075721636,0.060574657388973066,0.06813207202754863,0.03610904895806005,0.014485120079812076,0.016448203639191188,0.04594985202900287,0.03330314097953814,0.008177943651409824,0.017567458224261888,0.03499061180756184,0.0
Tigecycline_AB,0.06094015575911631,0.011647890245112556,0.02428176541898634,0.4237673874692034,0.010048575403770892,0.0011175765082514257,0.1962204523094425,0.0033336709860262662,0.021834122707357954,0.0058148383166084375,0.003590987387037373,0.005103925248688537,0.0053354177611524955,0.004183884820023771,0.005177442641010942,0.003152820522877297,0.004876784648336931,0.0027689659894883207,0.004084011013277765,0.02466135649766118,0.03431148081633108,0.0042100834896125275,0.0661081512147344,0.07342825282589138,0.0
Tobramycin_AB,0.010985518027409519,0.005566978827729243,0.5198228428252832,0.011227089731367743,0.03142938824160078,0.007715123528668602,0.003113595577899213,0.005596729210972521,0.138994634172028,0.0355011243809102,0.013219419850036582,0.022640086081270022,0.0007991559811532121,0.019492542734942643,0.010007354506561289,0.032893443152056626,0.04993149229671218,0.0027216611354095063,0.013618111079431719,0.01745860143237881,0.006978458047725728,0.006054975923020296,0.023151866353500063,0.011079806901932105,0.0
Trimethoprim-sulfamethoxazole_AB,0.010539789066209667,0.15607970574783164,0.0374912290042511,0.035028610802177035,0.014245461256508562,0.07164346641916214,0.000226012632697693,0.004777123617640381,0.014217432011628542,0.014707408174278513,0.010030519195937757,0.014601837521854906,0.0,0.40085492658096267,0.0461718217781068,0.014926185786874747,0.01960612062615491,0.00692317797408574,0.029854756500748286,0.01520910424746779,0.033136135519781555,0.005226294283096929,0.033362460435541336,0.011140420817001333,0.0
