,Tobramycin_AB,Cefuroxime_AB,Cefotaxime_AB,Cefpodoxime_AB,Cefepime_AB,Gentamicin_AB,Piperacillin-tazobactam_AB,Doripenem_AB,Tigecycline_AB,Trimethoprim_AB,Piperacillin_AB,Aztreonam_AB,Ceftazidime_AB,Ciprofloxacin_AB,Ceftazidime-avibactam_AB,Imipenem_AB,Meropenem_AB,Ceftolozane-tazobactam_AB,Trimethoprim-sulfamethoxazole_AB,Amoxicillin-clavulanic acid_AB,Colistin_AB,Ertapenem_AB,Ceftriaxone_AB,Levofloxacin_AB,Ampicillin_AB,Amikacin_AB,Ampicillin-sulbactam_AB,Cefazolin_AB,Organism_Code
Ceftazidime_AB,0.013579999619551694,0.11515384250398461,0.01781928324760447,0.01275140554704515,0.010298264247223337,0.01049327143064523,0.018154644121094805,0.006196786587240211,0.00952070559805249,0.006639000392688268,0.007452526493777267,0.09959267141965651,0.5070535252588102,0.03154694189018177,0.006016490735149269,0.0104687280170163,0.008363504621966535,0.002213656042154461,0.013861307836431865,0.005134335969363961,0.006999447449634751,0.005942053892259409,0.009104307525798303,0.008494595283621268,0.00636231500612724,0.014187609601777045,0.015550887602879227,0.02104789205826422,0.0
Ceftolozane-tazobactam_AB,0.004750140858675591,0.02371078805003344,0.0038777167794954116,0.006471490378912209,0.011189001740750756,0.012309838884090077,0.015300915452032346,0.0,0.009215329784356968,0.0,0.0,0.017742321173543768,0.01195894024650633,0.008531839334218982,0.03187066441000391,0.009542286963035622,0.026533202505246246,0.5886064522241437,0.005051594656508197,6.177055820306522e-17,3.9036443678638165e-17,0.12674914125367687,0.010665228318298439,0.01783015854687421,0.0035753446355364675,0.014117944110572513,0.03395224032959168,0.006447419363896284,0.0
Ceftriaxone_AB,0.015901981428225555,0.027102695832606688,0.03087221403716427,0.03577932704830728,0.020104691169626772,0.016910640538474866,0.019456588369909784,0.014872525527892633,0.010385419034210155,0.0010665185610888074,0.01671749710454615,0.02226047465247019,0.19535146508437687,0.015774492652946268,0.017782761481535816,0.0173966193946705,0.009853853491519599,0.04983055963197415,0.01649344417157607,0.0016493107888119847,0.03788839802838423,0.06294114536304884,0.11328228513799149,0.011039219317127343,0.00971055498645667,0.006814873365922063,0.05341602983442341,0.14934441396471163,0.0
Cefuroxime_AB,0.011345152913624366,0.2399273117448338,0.014997153381046,0.034328377936163834,0.014129450381666575,0.009373779207102674,0.0172771167007838,0.03492134311352596,0.010207709674677205,0.0014852755410476965,0.04890959367336524,0.06107753715322077,0.030496406136803243,0.01666096552778995,0.004916520268363471,0.012761968825730092,0.010093468413487187,0.007429952963051186,0.010844970849778906,0.07685523162484621,0.0237974786639783,0.003968571099672665,0.0368033157962941,0.010387838582392044,0.01720448985456202,0.014569796167645855,0.03404193871571849,0.19118728508882843,0.0
Ciprofloxacin_AB,0.01137179085596067,0.02946805470278681,0.014793495638629386,0.008714384211040201,0.014336956289684379,0.02230743820690427,0.022545407141378617,0.005438045449234717,0.00936484946134554,0.008469360109989638,0.006994901142029332,0.014352051049551447,0.07467279895568374,0.38778229413001974,0.07679519275423033,0.017267780246878507,0.013618389614317102,0.051120986331384816,0.015919967642430193,0.017479066786957688,0.007015224469123079,0.02725044112549184,0.020634243658093958,0.02341172308381251,0.012549854463290667,0.013053454629505282,0.024216116607002486,0.04905573124324311,0.0
Colistin_AB,0.015501874978709206,0.12401728442982798,0.010483457899557895,0.04681653256497405,0.012122365440828882,0.05624793549742571,0.01079126341590832,0.0659378692321902,0.02493135947753412,0.0,0.05178602090351435,0.008644308966880924,0.021175327839124694,0.019913448212962013,0.023829760183870993,0.02548354756117449,0.028049786792321573,0.00028748062240682617,0.011539119189587289,0.014588505039873774,0.0818345493879606,0.03613947805099892,0.19631454787455527,0.055910285412724886,0.007516926639452415,0.02521525623465884,0.007168304263232485,0.017753403887743185,0.0
Doripenem_AB,0.023995914639504148,0.030719711234245686,0.004954880434290109,0.021389220339788746,0.02217037970167924,0.007712985107126827,0.02107064249946218,0.03693336734573719,0.013596821972683063,0.0,0.0231568995732229,0.011838653428196589,0.007405457517194899,0.01487950757443553,0.0006566179591582005,0.013963749083079659,0.05245654549307374,0.0,0.012523567317373613,0.1024704365182885,0.011760432253620749,0.0008911236333093072,0.02025423286269757,0.0054139435248760585,0.15959581414042218,0.03041153813422653,0.011507100077653359,0.3382704576346536,0.0
Ertapenem_AB,0.010538633779168728,0.009726206291531446,0.008809674318197316,0.028154316943947016,0.009095006619689143,0.010398537644642228,0.0072159434058122526,0.012208246761425862,0.009786526220234537,0.00042109556813627,8.135621324830148e-05,0.00678670284535973,0.01063660755385415,0.013030312013860042,0.2332411696237348,0.10252644274307185,0.09053483548925464,0.07061237731374391,0.0064410662702964454,0.01727531001552393,0.005720921022436799,0.22863418442879108,0.009205092018394286,0.016562003640717367,0.04508279198795467,0.020008153236882185,0.004534024350725555,0.01273246167936535,0.0
Gentamicin_AB,0.08235255658656826,0.01977143982127367,0.006798028877503097,0.0021573335891514056,0.014765100894670813,0.5950259724413097,0.042400704751575494,0.0021591247869160277,0.01274779781300205,0.0021928146200856187,0.002896002558700556,0.012564002140223825,0.019560903613511673,0.019089080098053598,0.004562285539512117,0.013775476308356398,0.01892313748291074,0.0016535211543184272,0.010488418736063697,0.0049517790570517105,0.014943416810551825,0.009739724569954304,0.008225732450974892,0.014999000967666662,0.006229106405563272,0.03150940933649291,0.009524171541719636,0.015993957046317685,0.0
Imipenem_AB,0.00784759653255632,0.02306314238155719,0.0066424939465248665,0.005475214852578548,0.012487161669860063,0.01602054019616011,0.03718629215210257,0.0041637670709889895,0.008347711721020251,7.36446510853747e-05,0.0022751718646148097,0.009937859801666135,0.023336313287055408,0.015543650902721626,0.11814963672891282,0.3868609372827625,0.037796354048152694,0.04986007795184228,0.009305602513931425,0.004225008668626628,0.006399413838117044,0.1165297340785159,0.006448824127238175,0.0381760081765513,0.006638822234828075,0.028328901773522052,0.010591711622226786,0.008288405924280193,0.0
