Sample_ID_IfH,Organism_Code,trimethoprim-sulfamethoxazole,ceftriaxone,gentamicin,ampicillin,ciprofloxacin,amoxicillin-clavulanic acid,colistin,doripenem,cefepime,meropenem,amikacin,tigecycline,ceftazidime,levofloxacin,Imipenem,piperacillin-tazobactam,cefazolin,tobramycin,cefuroxime,ertapenem,ticarcillin-clavulanic acid,aztreonam,cefpodoxime,ampicillin-sulbactam,moxifloxacin,nitrofurantoin,piperacillin,cefotaxime,sulfamethoxazole,temocillin,trimethoprim
562.140715,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.111033,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140739,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26313,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26311,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140728,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26273,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5468,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26286,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140786,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140729,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,R,,,,,,,
562.26299,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5694,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140724,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5448,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5421,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140817,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5695,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140819,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5689,ECO,S,R,R,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26274,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26314,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140767,ECO,R,S,R,R,R,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140749,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26318,ECO,R,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26278,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5462,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140736,ECO,R,S,S,R,R,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140726,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.26289,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140751,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5454,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5693,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5426,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140727,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26281,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.111036,ECO,R,R,R,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140814,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26285,ECO,R,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140779,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140793,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5434,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26277,ECO,S,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140822,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,R,S,R,S,,,,,,,
562.5704,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140741,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140723,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,R,R,S,R,R,S,R,R,,,,,,,
562.140799,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5701,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5451,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26279,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140816,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.26312,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140777,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5432,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26276,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5433,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5461,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5706,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5422,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140718,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26301,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140774,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140798,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.109861,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26292,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5671,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26283,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5435,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5469,ECO,R,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26282,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140738,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26317,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140769,ECO,S,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140761,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26296,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5423,ECO,S,S,S,S,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5429,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5697,ECO,S,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26284,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5686,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.140765,ECO,R,S,S,R,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,R,,,,,,,
562.140747,ECO,R,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140806,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.109862,ECO,R,R,S,R,R,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5439,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140733,ECO,R,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.140782,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.26304,ECO,S,R,R,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5442,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.26294,ECO,S,S,R,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5455,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5698,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26295,ECO,R,S,S,R,R,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.26309,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5459,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.5419,ECO,R,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5437,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5456,ECO,S,S,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
562.140802,ECO,S,S,S,S,S,,S,,S,S,S,R,S,,,R,S,R,S,R,S,S,R,S,,,,,,,
562.5453,ECO,S,S,S,R,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
562.5443,ECO,S,R,S,R,S,R,,,,,,,,,,,,,,,,,,,,,,,,,
