,Tobramycin_AB,Cefuroxime_AB,Ciprofloxacin_AB,Cefazolin_AB,Ceftazidime_AB,Ampicillin-sulbactam_AB,Ceftriaxone_AB,Levofloxacin_AB,Aztreonam_AB,Piperacillin-tazobactam_AB,Gentamicin_AB,Imipenem_AB,Meropenem_AB,Amikacin_AB,Cefepime_AB,Trimethoprim-sulfamethoxazole_AB,Ampicillin_AB,Amoxicillin-clavulanic acid_AB,Ertapenem_AB,Cefotaxime_AB,Tigecycline_AB,Trimethoprim_AB,Colistin_AB,Cefpodoxime_AB,Ceftolozane-tazobactam_AB,Ceftazidime-avibactam_AB,Piperacillin_AB,Doripenem_AB,Organism_Code
Ceftazidime_AB,0.017981788374775605,0.09093428720834623,0.010941101502581822,0.015159114252343061,0.518297077562033,0.012563225877343515,0.008584941020667338,0.014196219077394726,0.08757862399361131,0.03089084588031816,0.013999090549508,0.009825437875808373,0.011448810613825546,0.01703098792432018,0.015193553372808232,0.009444348586919796,0.006293240483015159,0.005586829180083694,0.009847643019648297,0.03846263235648237,0.0175387575712665,0.0014722922538300117,0.006094231334769522,0.005061006192496458,0.0052552709932396895,0.0065124937092003,0.00838297845538434,0.00542317077797904,0.0
Ceftolozane-tazobactam_AB,0.01783846247256999,0.050666904311190614,0.01114969354202413,0.025792848139190916,0.027973511859388317,0.030808498448710413,0.018208828378929957,0.04721177649799302,0.02818991484649124,0.0625273592701394,0.01826953165993185,0.14332533725045798,0.11053018114249735,0.012782189723659604,0.012470103460027037,0.005811743479082505,0.010596513183350172,1.605072649015481e-17,0.06274168411353945,0.015143891074788675,0.02299041123819182,0.0,0.000135767649509409,0.0052608788462777615,0.228102594722219,0.03147137468983941,0.0,0.0,0.0
Ceftriaxone_AB,0.009802670804853378,0.01868839406472116,0.009471242969548772,0.014418350662665842,0.20055454452302024,0.048891507727206865,0.3815608097683889,0.004224606742352216,0.08934110347137536,0.011781746449394233,0.00937494088394342,0.011308882791574415,0.006781029880467405,0.007890127439965582,0.020746634614674922,0.004575248312453562,0.001549259020670286,0.0038351659361963095,0.01355991416402555,0.01338752659156886,0.009623370722733126,0.00011014369636409041,0.007073312272107734,0.0031401694265314074,0.06590004630130603,0.025410747446697593,0.0035359494899705624,0.003462553825222054,0.0
Cefuroxime_AB,0.01189734442994846,0.25773867558775077,0.015075908173290384,0.15253035844275428,0.049489257327874105,0.025272982414796488,0.05779461204226059,0.006687165748535443,0.028312687681404186,0.008079104282257566,0.008342091242725884,0.005483349226929595,0.008231718970978574,0.013310272487651351,0.017046463330516126,0.0099548149686631,0.011688983577563723,0.045058643998108674,0.00905808438281238,0.012530139778032863,0.023781334791103212,0.003916231971899649,0.033063629879638345,0.10489680574784552,0.005758284240300948,0.004055047447035175,0.0357022772839752,0.0352437305433476,0.0
Ciprofloxacin_AB,0.011696240678651583,0.02157765004616881,0.3943928858167335,0.014230272997248328,0.02859946324409464,0.06654530781987317,0.021898940019914666,0.08034534620852554,0.008410681622670783,0.02524748503668372,0.027737099345954093,0.012260322568677129,0.020269701966290063,0.020943546540841643,0.018551257238367543,0.008729684841039167,0.010004223885618287,0.011020630286890327,0.016419317403607366,0.016676128574824846,0.012830832202882895,0.009670160224781513,0.008200413531752215,0.018814491287538513,0.03825113310628231,0.06472136860922259,0.007232630945516877,0.004722783949347841,0.0
Colistin_AB,0.02346000482835444,0.03201043253012669,0.03092620122466749,0.014253383951125487,0.03120574066093095,0.024515085458594328,0.1945627688963432,0.0360718019028301,0.031631504677972155,0.02761023006779786,0.02772190763692409,0.0438179462774895,0.04950581909241622,0.02514327135458998,0.018143159272804146,0.019924936938760213,0.0015452417773758934,0.009684966220122632,0.027421523052758648,0.024434972899215486,0.036870722208318704,0.0,0.10579970939406597,0.014398379445396717,0.001587736347533967,0.011102143079343967,0.02479978222403972,0.11185062858010159,0.0
Doripenem_AB,0.01768880030693549,0.03467949066300219,0.010088018608753125,0.26873635471933704,0.02046853294063735,0.01950526265391621,0.02241141120011663,0.023469911111243004,0.009329675956015238,0.005909228860422837,0.014356782397653893,0.009434572452131662,0.01742627474413289,0.025743647767059424,0.008746935232109359,0.007427686161189314,0.17438474125931316,0.17462427301148864,0.0019734846496377205,0.006230498966567164,0.012531741797922932,0.0,0.016342461959608156,0.02324010816805709,0.0,0.00046549413661572524,0.03832298162296694,0.036461628653166975,0.0
Ertapenem_AB,0.004971249435977075,0.004396978654349345,0.01606688784143044,0.016161210801098475,0.006148123653387419,0.012225004369621775,0.008634768082615936,0.024026152836560902,0.007770951848854134,0.008700711944026565,0.0060867516763247025,0.13748893577984173,0.05559301479575134,0.011509755478278778,0.007327373538979887,0.0030010386008177017,0.022379948429673537,0.008764348575069372,0.353235640743784,0.01281353651077629,0.0046405374463151395,0.0020388611824326656,0.003928768089896087,0.0775139175163032,0.04717113570507766,0.13151672297870357,1.2243950974803386e-17,0.00588767348405235,0.0
Gentamicin_AB,0.07399927328128918,0.022978477967118896,0.021682142793373712,0.012712712988816665,0.022014233192457867,0.012501886086577334,0.01404858534966418,0.012361942535990433,0.012123801529116018,0.014905861625114215,0.6093914513748655,0.025670869825950536,0.01953900816692069,0.03762923402173399,0.014349009182870007,0.012373437016647138,0.006171632057477093,0.0022327475598294417,0.00982246260366973,0.00929108133795306,0.014096180407376768,0.001073691373828845,0.004523171919861627,0.0011702213731846927,0.0018579774169411112,0.008062516187226108,0.00081056209925677,0.0026058287248881015,0.0
Imipenem_AB,0.012556462183793547,0.039442120680890536,0.010804826644000416,0.012886298363580257,0.022357031346591217,0.008980691297858953,0.0056998226359196175,0.03309044489171093,0.015152335430682827,0.0461586803600504,0.014897167070490047,0.3975408465873508,0.024363620025610065,0.03390474284128034,0.017328800121001346,0.01513659792000413,0.005051150401330298,0.0027258806695625287,0.11343228022605695,0.008612494634495477,0.010580156300318019,3.7231325281476135e-06,0.0066543145772821385,0.004643080035448226,0.04054795098622192,0.09276659473590708,0.0008704388170770038,0.003811447082956932,0.0
