,Meropenem_AB,Ertapenem_AB,Tobramycin_AB,Tigecycline_AB,Piperacillin-tazobactam_AB,Cefotaxime_AB,Amoxicillin-clavulanic acid_AB,Ampicillin_AB,Gentamicin_AB,Amikacin_AB,Ceftriaxone_AB,Cefepime_AB,Trimethoprim_AB,Trimethoprim-sulfamethoxazole_AB,Ciprofloxacin_AB,Ceftazidime_AB,Aztreonam_AB,Ceftolozane-tazobactam_AB,Cefuroxime_AB,Imipenem_AB,Ampicillin-sulbactam_AB,Ceftazidime-avibactam_AB,Cefazolin_AB,Levofloxacin_AB,Organism_Code
Ceftolozane-tazobactam_AB,0.020220778359041826,0.04530064493283727,0.009841200770333089,0.04346050759510086,0.060784261879664576,0.0037950341686007064,0.0,0.05141377523348743,0.0075527007855539854,0.03165240910276256,0.008258050790675644,0.013368672975243814,0.0,0.004814207693974327,0.00805664423096401,0.0172782217127117,0.026930977411791006,0.4695911452347845,0.03042378287878516,0.0676748716434637,0.020515769855347914,0.011750467654741768,0.007886233781601953,0.03942964130853219,0.0
Ceftriaxone_AB,0.009506842796968111,0.01437833991200832,0.018583720571412225,0.005308155612577417,0.011399578958511528,0.03323339210160807,0.0026352591596486763,0.00431322879161023,0.010921037635879377,0.02243479237091682,0.26930996295546317,0.021977656418737064,0.002352305048134465,0.05076715972979258,0.025226293836703724,0.11081337926669098,0.018846287441737015,0.07693053029389837,0.054325494255766764,0.045469224739807246,0.035869645441101675,0.042267971961761436,0.09512726592340137,0.01800247477586342,0.0
Cefuroxime_AB,0.006579311397024671,0.009658284550603014,0.012277990074947835,0.007444206939593773,0.0062870497442027795,0.03102922334256448,0.010965403507603812,0.008700257476232598,0.009151116021490425,0.009343572028749903,0.011252996650451041,0.006169168260928011,0.002293018033628801,0.010109813059078872,0.02087510096706275,0.12935861079321587,0.1709341120216814,0.010634252344870698,0.39731292536443175,0.00710660442805408,0.011364307750202175,0.022705604395193008,0.08043752718027236,0.008009543667915717,0.0
Ciprofloxacin_AB,0.009977799170152344,0.01761219487332994,0.016253510044759924,0.009935591532282111,0.02881452665825719,0.009771964334515703,0.032198248777943445,0.04550440859951074,0.022758780819008173,0.01863671382293442,0.02734099561414256,0.008954924797378621,0.006754893616248606,0.007445498913314522,0.29885784162187995,0.017989649200966115,0.011436615885622477,0.06236313044920309,0.011508483018677969,0.03403854048454229,0.13821042818089924,0.06090486854865225,0.0827615357027623,0.019968855333016063,0.0
Ertapenem_AB,0.02638914205598354,0.057379188920179916,0.0052432628599978215,0.005173847155549867,0.00706268954513424,0.0077092900206129885,0.01891847373252823,0.06400049985857924,0.005500693394910407,0.017671660361362,0.015381531383127926,0.0077576875555306155,0.002138807572475176,0.004374996541387293,0.010214508345796548,0.006601438564105526,0.005563600904923785,0.21029673728484372,0.00425451671084821,0.2705174094799272,0.029948980839714937,0.18256327289586644,0.01948385152315,0.015853912493464403,0.0
Gentamicin_AB,0.019700064893490722,0.020367292792343034,0.07938753022705944,0.007205931028664257,0.02760036972575506,0.004544257441416864,0.003301506473094791,0.011045166616502844,0.5562564917243955,0.03811567121642856,0.013764250124458128,0.018298391633111553,0.0019276572376194755,0.01221893791219973,0.030157488762097236,0.017149189207915826,0.01764546571775513,0.004258061371700028,0.013867802263390551,0.029517330223106982,0.009136259623053807,0.004854352682020872,0.04524775310609361,0.014432777996326019,0.0
Imipenem_AB,0.03726106698177058,0.11479518610034546,0.016883756480249975,0.02145396028854364,0.02318107866843938,0.010930520127980573,0.00033252553314790784,0.01719884703799114,0.015077370333968885,0.02852735817662582,0.011027990425816543,0.02049347435048998,4.3302405494439e-05,0.009802109265279845,0.008002293379558156,0.017591626944751117,0.015659349013354223,0.07440374434179917,0.00840438202460552,0.4193050127165817,0.01430680771228575,0.07096361593664754,0.013918001451024762,0.03043662030324785,0.0
Levofloxacin_AB,0.03402404244343868,0.025951206378178708,0.01384177734791036,0.01313513293933749,0.034144156278757,0.014997084066551208,0.001992703634846409,0.06047289331550586,0.013528088172184309,0.02844716096746335,0.017984541780902065,0.022065466034463688,0.0,0.007828390723272904,0.015452525332331584,0.0470402722281501,0.014125046195956323,0.01661343471839658,0.025564423339754425,0.016236252771257308,0.025785013178490912,0.01828744043215136,0.023813549593325083,0.5086693981273744,0.0
Meropenem_AB,0.06384189601790778,0.3785942066581658,0.006713855178802481,0.023686915234937413,0.00995415107992758,0.01339688796203851,0.027313061563988057,0.03497593071353246,0.0050148078917433905,0.024975086347987112,0.006634636097931938,0.005287620008839979,0.0006004900502724656,0.008908976653415262,0.004029323262463339,0.007684086411145775,0.007620521714749633,0.15243919554609203,0.004050176833554021,0.04615281641053551,0.005678765000025488,0.14222875803268464,0.012283903883301379,0.007933931445957974,0.0
Piperacillin-tazobactam_AB,0.01969492217521325,0.010300818337235697,0.019639577804367984,0.012595208439206982,0.43737587930674826,0.007037472374946872,0.010129453880587313,0.012338211498161536,0.026018449965515576,0.019687399648722667,0.025330878615088995,0.024161599467201558,0.0016342620939760275,0.020907189057379667,0.08683334010168503,0.06617947997595858,0.034965920050946384,0.012796022818726615,0.017511441724290217,0.04186467136031365,0.03887586227294072,0.008427041701784621,0.010779504509310431,0.03491539281969133,0.0
Tigecycline_AB,0.055720012813013836,0.019573493300140982,0.018487581057122806,0.15477486453488262,0.03411378812360692,0.012641597348374622,0.3262400052895733,0.005420742229016494,0.018475205553977855,0.005614241062030342,0.00295002724696794,0.017524190336851042,0.016069508463102518,0.009254488824777684,0.014000728904773505,0.007672842824077609,0.005451752447089159,0.0024681496914586293,0.015361944489418931,0.032874147520194276,0.036116953823386116,0.0033963563305851536,0.09091460278046662,0.09488277500511115,0.0
Tobramycin_AB,0.017500527864009047,0.0084934274758964,0.5807349966545496,0.00742683621473588,0.02242791031414492,0.007077691595070934,0.003053645662766665,0.003445713221337925,0.11042565058153174,0.025626085288512977,0.004657165870168764,0.019791721334250743,0.0013760983776394632,0.011616684327671569,0.016258212868523816,0.01867591216541857,0.06748534001113714,0.005951317012707796,0.013165818844869491,0.02059433181193466,0.004749209407216319,0.005139532535125627,0.018267032223467733,0.006059138337312065,0.0
Trimethoprim-sulfamethoxazole_AB,0.007793499194147443,0.15648957627201038,0.036849690339511326,0.030549179993190994,0.012722659823673595,0.06599943465244137,0.0002730619248180764,0.014091320865769506,0.019753861258545266,0.01314729771037823,0.007410282981401423,0.030411671596664615,0.0,0.4485267495902512,0.02765986723668904,0.006374196673278369,0.025231533978227555,0.006043084703378609,0.0146103699937234,0.01779799028346581,0.024644687092712173,0.0045369983543480825,0.021344265682505616,0.007738719798868019,0.0
Trimethoprim_AB,0.04158900388889061,0.0330318721794019,0.026713368164319934,0.008321643760392319,0.031516756409142664,0.035817083057569477,0.3241830745190041,0.046351270203750024,0.042960455591178406,0.028408011332669326,0.010679287972887235,0.022278857168836673,0.08043741444243172,0.0,0.04149205683687381,0.057752481795982386,0.10315312352691308,0.0,0.04715257785691059,0.018161661292845924,0.0,0.0,0.0,0.0,0.0
